datetime,open,high,low,close,volume
2021-01-01,0.18158,0.1851,0.16999,0.17517,654388233.0
2021-01-02,0.17526,0.18516,0.16828,0.17759,781281611.0
2021-01-03,0.17758,0.21059,0.1727,0.2067,1533085381.0
2021-01-04,0.20674,0.241,0.19127,0.22524,1986736544.0
2021-01-05,0.22524,0.26438,0.20699,0.2585,1706453485.0
2021-01-06,0.2586,0.34757,0.25305,0.3331,2235795095.0
2021-01-07,0.33317,0.356,0.27802,0.29961,1598362034.0
2021-01-08,0.29971,0.32357,0.26395,0.30429,1536358960.0
2021-01-09,0.30431,0.33898,0.29614,0.3312,853182433.0
2021-01-10,0.3312,0.3423,0.28,0.30187,1054957535.0
2021-01-11,0.30185,0.30427,0.22938,0.27584,1675029700.0
2021-01-12,0.27584,0.31559,0.26295,0.28929,1231461927.0
2021-01-13,0.28919,0.316,0.27125,0.31246,822559877.0
2021-01-14,0.31256,0.32559,0.2965,0.3124,700999375.0
2021-01-15,0.3125,0.33294,0.27731,0.30207,958099123.0
2021-01-16,0.30213,0.36936,0.3021,0.35125,1310375588.0
2021-01-17,0.35128,0.39849,0.3408,0.38074,1674206543.0
2021-01-18,0.38082,0.3981,0.36426,0.37169,798240774.0
2021-01-19,0.37185,0.38539,0.36206,0.36782,728911877.0
2021-01-20,0.3678,0.3773,0.3307,0.37571,887167304.0
2021-01-21,0.37576,0.37993,0.3,0.3081,1008064817.0
2021-01-22,0.30804,0.36,0.27925,0.34874,1244348018.0
2021-01-23,0.34873,0.35805,0.33578,0.34612,618875414.0
2021-01-24,0.34598,0.36985,0.33636,0.35398,619971472.0
2021-01-25,0.35396,0.36485,0.34057,0.34325,554772519.0
2021-01-26,0.34309,0.35131,0.3227,0.34387,507580338.0
2021-01-27,0.34386,0.34441,0.30432,0.31143,590215642.0
2021-01-28,0.31141,0.356,0.30435,0.3443,627324686.0
2021-01-29,0.34424,0.36972,0.3305,0.34787,756048185.0
2021-01-30,0.34788,0.3782,0.33715,0.36452,546617361.0
2021-01-31,0.36451,0.37798,0.33847,0.34505,384050709.0
2021-02-01,0.34519,0.4262,0.33127,0.40983,910677165.0
2021-02-02,0.40984,0.45588,0.38926,0.42559,1782563060.0
2021-02-03,0.42571,0.45065,0.41562,0.44273,652811955.0
2021-02-04,0.44273,0.45165,0.4099,0.44037,601882858.0
2021-02-05,0.44037,0.56117,0.43737,0.53929,1648562583.0
2021-02-06,0.53905,0.66801,0.52006,0.63596,1805637804.0
2021-02-07,0.63599,0.71043,0.579,0.66126,2628953923.0
2021-02-08,0.66088,0.72735,0.63147,0.67672,1469923063.0
2021-02-09,0.67708,0.71467,0.65773,0.70682,790524423.0
2021-02-10,0.70673,0.96,0.70673,0.943,2659772365.0
2021-02-11,0.943,0.99398,0.86569,0.93026,1529772510.0
2021-02-12,0.93021,0.95103,0.868,0.92426,945893680.0
2021-02-13,0.92462,0.9563,0.79888,0.91496,1034676608.0
2021-02-14,0.91496,0.92276,0.80781,0.84508,902811805.0
2021-02-15,0.84499,0.91198,0.68222,0.86003,1656643517.0
2021-02-16,0.86056,0.90676,0.83276,0.87,867811836.0
2021-02-17,0.87012,0.90248,0.82112,0.89407,698155101.0
2021-02-18,0.89407,0.96222,0.89388,0.9158,880522897.0
2021-02-19,0.91578,0.9505,0.8777,0.92743,741224685.0
2021-02-20,0.92743,1.2025,0.9155,1.11542,2116558333.0
2021-02-21,1.11541,1.15399,1.06665,1.10047,912175720.0
2021-02-22,1.10075,1.14621,0.80566,1.09729,1911239830.0
2021-02-23,1.09732,1.145,0.80364,0.96177,2284558109.0
2021-02-24,0.96144,1.07717,0.89722,1.04891,1139129917.0
2021-02-25,1.0487,1.1799,1.01118,1.07694,1271954847.0
2021-02-26,1.07638,1.3006,0.98678,1.24484,2252967740.0
2021-02-27,1.24483,1.486,1.228,1.31376,2485085084.0
2021-02-28,1.31406,1.36312,1.15415,1.3132,2384198651.0
2021-03-01,1.31367,1.35,1.23151,1.298,1225796991.0
2021-03-02,1.29823,1.30159,1.1801,1.22294,936646068.0
2021-03-03,1.22288,1.26997,1.20786,1.21399,597127511.0
2021-03-04,1.21411,1.23255,1.067,1.11288,1088302958.0
2021-03-05,1.1129,1.19663,1.03237,1.15845,1270747720.0
2021-03-06,1.15842,1.18225,1.08475,1.12936,613067006.0
2021-03-07,1.12927,1.14619,1.10499,1.13081,433234617.0
2021-03-08,1.13111,1.17994,1.10468,1.1204,526132243.0
2021-03-09,1.12029,1.222,1.11268,1.19879,855618292.0
2021-03-10,1.19886,1.21161,1.11065,1.13289,703303334.0
2021-03-11,1.13293,1.14079,1.11,1.12587,453426365.0
2021-03-12,1.12587,1.13094,1.01823,1.03356,712506107.0
2021-03-13,1.03371,1.19321,0.98427,1.10128,1001372775.0
2021-03-14,1.10127,1.10509,1.05305,1.05358,548767352.0
2021-03-15,1.05358,1.07405,1.0,1.03161,670574518.0
