datetime,open,high,low,close,volume
2021-01-01,3.1894,3.8455,3.0479,3.6541,15285985.0
2021-01-02,3.6565,3.945,3.2954,3.505,9313951.0
2021-01-03,3.5046,3.8508,3.4002,3.4907,8124433.0
2021-01-04,3.4927,3.8861,3.2,3.6036,9918202.0
2021-01-05,3.6034,4.3703,3.4648,4.2626,12610791.0
2021-01-06,4.2632,4.9949,4.1491,4.5808,9356697.0
2021-01-07,4.5808,4.8294,4.1735,4.4722,6930303.0
2021-01-08,4.4765,5.8591,4.03,5.7084,12980609.0
2021-01-09,5.6965,7.4707,5.5763,7.1895,13126244.0
2021-01-10,7.1915,7.509,6.151,6.5449,7858043.0
2021-01-11,6.5428,6.9974,5.6944,6.4571,9132710.0
2021-01-12,6.4587,8.2125,6.3814,7.7118,10952556.0
2021-01-13,7.7083,8.4953,7.1157,8.4617,7971177.0
2021-01-14,8.4608,9.6014,8.202,9.3204,8801902.0
2021-01-15,9.3284,9.9147,8.5623,9.3586,7746718.0
2021-01-16,9.3597,13.6592,9.1269,12.7952,11311763.0
2021-01-17,12.7817,14.71,12.3,13.1289,11329178.0
2021-01-18,13.1177,13.8446,12.5001,12.6751,5699519.0
2021-01-19,12.6709,13.3783,11.5493,11.7022,5833508.0
2021-01-20,11.7,13.0461,11.0001,12.3692,5805590.0
2021-01-21,12.3723,12.9712,11.03,11.2759,5857361.0
2021-01-22,11.2633,13.3849,10.6259,12.7114,7382684.0
2021-01-23,12.7217,13.4883,12.499,12.8923,6075166.0
2021-01-24,12.8864,13.1916,12.1253,12.4682,4876524.0
2021-01-25,12.4683,12.9238,12.023,12.1388,4088131.0
2021-01-26,12.132,12.6994,11.3217,12.1862,4796646.0
2021-01-27,12.1784,12.1888,10.7487,11.1092,4713927.0
2021-01-28,11.0982,12.7494,10.7474,11.9178,5206881.0
2021-01-29,11.915,12.6302,11.2054,11.5976,5527690.0
2021-01-30,11.5878,12.6498,11.2229,12.0375,4852804.0
2021-01-31,12.0268,15.3716,11.8195,13.4644,8791829.0
2021-02-01,13.477,13.5681,12.5,13.2448,5309099.0
2021-02-02,13.2359,13.7104,12.75,13.4628,4411499.0
2021-02-03,13.4573,14.9704,13.19,14.8534,5119081.0
2021-02-04,14.8589,15.9105,13.8453,15.29,5788645.0
2021-02-05,15.29,18.0348,15.1286,17.8632,5349453.0
2021-02-06,17.8663,18.6521,15.6618,18.119,5430834.0
2021-02-07,18.1152,24.4766,17.9201,23.7402,9294335.0
2021-02-08,23.7402,33.8769,23.5208,30.1671,9744405.0
2021-02-09,30.1757,33.2586,27.51,31.9082,6257202.0
2021-02-10,31.9082,60.6595,31.4158,54.9172,13086334.0
2021-02-11,54.8184,56.8888,42.5849,47.5001,8229067.0
2021-02-12,47.5001,54.7,43.6699,48.4247,6795565.0
2021-02-13,48.4208,52.26,43.4426,44.2039,5572822.0
2021-02-14,44.2771,45.9415,38.0,39.2,6974700.0
2021-02-15,39.1981,44.2897,32.0,38.1642,7917358.0
2021-02-16,38.1642,39.5483,35.0,36.6762,6309298.0
2021-02-17,36.678,41.8866,34.1,37.1984,6702587.0
2021-02-18,37.1821,44.0619,36.2223,41.1329,6820750.0
2021-02-19,41.1293,41.4999,37.5182,38.8859,5555606.0
2021-02-20,38.9146,43.1,31.4357,36.0081,7078919.0
2021-02-21,35.9943,38.1507,34.8851,36.2344,5202783.0
2021-02-22,36.2392,36.34,24.3366,32.2924,6749782.0
2021-02-23,32.1916,32.4821,22.4171,27.5483,6954447.0
2021-02-24,27.5565,31.98,25.1929,29.6555,6643391.0
2021-02-25,29.6534,32.1873,26.3417,26.7276,5966767.0
2021-02-26,26.685,27.993,24.8608,25.9372,5341277.0
2021-02-27,25.9721,27.3941,24.8742,25.677,4979058.0
2021-02-28,25.6585,25.8503,22.1,23.925,5169128.0
2021-03-01,23.9361,27.8482,23.5273,27.4816,5502307.0
2021-03-02,27.4891,31.856,25.866,27.1118,7963814.0
2021-03-03,27.1369,29.5608,26.5439,27.2227,6222627.0
2021-03-04,27.2197,28.8871,24.238,25.7677,6013102.0
2021-03-05,25.764,25.7909,23.5,24.2636,5054788.0
2021-03-06,24.2808,25.535,23.8451,24.9377,4506263.0
2021-03-07,24.9483,28.045,24.9483,26.7401,6162470.0
2021-03-08,26.7374,27.1676,25.168,25.63,5979402.0
2021-03-09,25.6374,34.85,23.8401,34.3501,13987997.0
2021-03-10,34.35,35.8785,28.5695,29.6156,12317101.0
2021-03-11,29.6292,32.9715,28.4502,30.8663,9168762.0
2021-03-12,30.8642,31.6879,26.73,28.0242,8288599.0
2021-03-13,28.0307,33.2922,26.85,30.9576,8339709.0
2021-03-14,30.9704,32.4159,28.8123,28.8123,7069839.0
2021-03-15,28.8147,30.6783,26.92,28.9611,7740086.0
2021-03-16,28.9484,33.3001,27.5613,33.0058,8587393.0
2021-03-17,33.0308,34.1075,30.684,32.7399,8022195.0
2021-03-18,32.7263,35.7727,31.8932,33.2432,8555360.0
2021-03-19,33.2499,38.5075,31.2757,37.3661,10215337.0
2021-03-20,37.3501,39.4065,34.2,34.231,6856902.0
2021-03-21,34.2453,35.4897,32.0208,32.8665,7128394.0
2021-03-22,32.8668,33.6978,28.2,29.193,7263467.0
2021-03-23,29.1945,30.9656,28.1,28.4859,6897491.0
2021-03-24,28.4885,30.5649,24.45,25.8228,8070606.0
2021-03-25,25.8078,27.5561,24.3,25.8246,7493878.0
2021-03-26,25.8219,28.9184,25.8074,28.2868,6606000.0
2021-03-27,28.2826,28.68,26.8549,27.6364,6096887.0
2021-03-28,27.6376,29.6279,27.25,28.7914,6298693.0
2021-03-29,28.7961,30.4297,28.2746,29.6,6175481.0
2021-03-30,29.6053,30.9199,29.045,29.6998,5593888.0
2021-03-31,29.6949,30.0669,25.7487,28.8004,6193299.0
