datetime,open,high,low,close,volume
2021-01-01,37.4,39.082,37.0,37.795,2613623.24
2021-01-02,37.795,39.06,36.79,38.271,2789507.96
2021-01-03,38.271,41.906,37.838,41.3,5731756.14
2021-01-04,41.301,43.646,38.011,41.142,6603696.97
2021-01-05,41.126,41.807,38.844,41.799,4157283.5
2021-01-06,41.806,42.328,40.53,42.288,3385263.29
2021-01-07,42.286,44.928,41.3,43.57,4664178.86
2021-01-08,43.566,43.69,40.054,42.394,4283914.41
2021-01-09,42.403,44.301,41.52,43.907,3048897.77
2021-01-10,43.911,45.2,39.786,42.399,4438160.76
2021-01-11,42.394,42.464,35.13,38.104,7471566.19
2021-01-12,38.114,39.998,37.135,38.275,3873565.39
2021-01-13,38.274,40.512,37.0,40.192,3655018.8
2021-01-14,40.208,42.039,39.68,41.911,3023256.98
2021-01-15,41.912,42.69,38.696,40.88,3622510.35
2021-01-16,40.882,44.226,40.689,43.171,4005216.95
2021-01-17,43.169,46.784,41.0,45.857,5321151.21
2021-01-18,45.861,46.967,44.145,45.442,3761963.01
2021-01-19,45.447,47.4,41.686,42.492,5885999.28
2021-01-20,42.477,42.802,40.195,42.607,4038131.83
2021-01-21,42.62,42.714,38.116,38.647,4457043.1
2021-01-22,38.648,41.426,36.81,40.863,4101010.61
2021-01-23,40.855,41.799,39.504,40.925,2586537.96
2021-01-24,40.927,42.273,40.28,41.85,1854955.87
2021-01-25,41.85,43.435,40.5,41.826,2542580.91
2021-01-26,41.835,42.556,39.876,41.873,2217988.98
2021-01-27,41.86,42.131,39.71,40.902,2497721.46
2021-01-28,40.907,42.999,40.36,42.452,2241362.92
2021-01-29,42.452,44.1,41.837,42.863,2967302.44
2021-01-30,42.869,45.156,42.6,44.744,1953602.31
2021-01-31,44.74,45.707,43.374,44.353,1771975.33
2021-02-01,44.345,52.578,43.418,51.483,5792782.9
2021-02-02,51.461,52.888,49.315,50.914,4571265.54
2021-02-03,50.906,52.694,49.751,52.096,2182777.61
2021-02-04,52.095,56.948,51.008,55.968,3742663.91
2021-02-05,55.96,68.8,55.925,67.736,5761391.94
2021-02-06,67.69,75.538,61.52,72.555,12358167.87
2021-02-07,72.548,74.5,64.034,68.269,6571573.68
2021-02-08,68.259,80.386,67.4,80.146,7926793.81
2021-02-09,80.146,116.592,78.785,107.249,17338691.09
2021-02-10,107.254,148.9,107.25,128.901,27321335.8
2021-02-11,128.9,133.605,118.0,124.11,7898640.86
2021-02-12,124.148,141.85,121.0,136.745,7979486.2
2021-02-13,136.728,139.0,124.951,133.5,4435209.64
2021-02-14,133.5,140.417,128.541,135.844,5327989.9
2021-02-15,135.89,140.187,117.189,130.037,5327626.06
2021-02-16,130.036,134.0,126.2,130.334,3003950.45
2021-02-17,130.327,176.92,127.0,165.556,11845430.36
2021-02-18,165.638,201.69,163.257,195.549,15260592.33
2021-02-19,195.571,350.0,195.0,334.094,35904371.35
2021-02-20,334.111,337.0,223.342,252.807,20932443.53
2021-02-21,253.053,309.086,249.001,294.864,14676450.99
2021-02-22,294.945,295.986,219.0,267.467,15428019.61
2021-02-23,267.444,270.081,183.5,230.982,19576669.04
2021-02-24,230.99,280.811,213.2,254.183,14890210.61
2021-02-25,254.194,265.82,231.0,234.376,9071200.41
2021-02-26,234.409,239.772,208.872,221.6,10146456.87
2021-02-27,221.594,238.0,218.991,225.36,5396399.16
2021-02-28,225.33,229.294,195.0,210.11,7904773.17
2021-03-01,210.196,260.0,209.052,255.033,11445294.27
2021-03-02,255.069,265.584,227.121,239.713,7830293.28
2021-03-03,239.673,255.387,236.054,240.499,6569331.17
2021-03-04,240.427,250.311,225.577,229.743,5592589.83
2021-03-05,229.698,231.637,215.7,225.407,5124643.74
2021-03-06,225.409,232.386,219.424,226.349,3351778.24
2021-03-07,226.382,244.389,224.77,240.269,4499987.45
2021-03-08,240.283,243.394,229.0,240.555,3799282.72
2021-03-09,240.553,298.292,235.82,293.464,12635026.59
2021-03-10,293.424,296.5,264.0,278.397,10156146.59
2021-03-11,278.397,316.491,272.434,290.04,12275392.55
2021-03-12,290.04,290.954,246.336,263.372,9784609.14
2021-03-13,263.404,284.933,255.55,276.98,5299618.99
2021-03-14,276.994,277.71,263.114,263.278,3400635.57
2021-03-15,263.431,268.158,249.649,254.523,4745146.3
2021-03-16,254.53,259.902,240.0,258.957,4021206.86
2021-03-17,258.964,272.598,248.624,270.149,3325521.09
2021-03-18,270.187,278.239,257.461,261.699,4023547.21
2021-03-19,261.699,269.486,255.001,262.924,2412866.29
2021-03-20,262.933,274.848,261.585,264.332,2695399.68
2021-03-21,264.305,268.121,257.232,264.852,2342979.86
2021-03-22,264.852,277.607,253.0,254.967,4184146.94
2021-03-23,254.99,263.031,252.0,255.654,3094054.4
2021-03-24,255.605,268.807,240.0,248.468,3981391.25
2021-03-25,248.52,250.084,222.902,233.852,5051270.59
2021-03-26,233.849,255.192,233.744,255.072,3135255.75
2021-03-27,255.046,276.338,248.788,269.619,3929000.15
2021-03-28,269.605,281.67,261.1,268.799,3872203.57
2021-03-29,268.788,278.5,264.52,275.426,2623334.32
2021-03-30,275.421,312.811,271.507,312.347,7941174.14
2021-03-31,312.322,317.89,283.0,302.7,7969896.6
2021-04-01,302.702,340.0,301.0,335.334,6517964.68
2021-04-02,335.374,358.418,325.0,338.821,6764633.33
2021-04-03,338.721,349.8,315.2,322.235,4675679.12
2021-04-04,322.244,352.867,316.116,349.304,4016471.3
