datetime,premium
2021-01-01,0.00049518
2021-01-02,0.0
2021-01-03,0.00261606
2021-01-04,-0.00028165
2021-01-05,-0.00015881
2021-01-06,1.297e-05
2021-01-07,0.00126862
2021-01-08,0.00025477
2021-01-09,0.00183189
2021-01-10,0.00027981
2021-01-11,0.0
2021-01-12,0.00014108
2021-01-13,0.00125906
2021-01-14,0.00098237
2021-01-15,0.0
2021-01-16,0.0012768
2021-01-17,0.0
2021-01-18,0.00139016
2021-01-19,0.0
2021-01-20,0.0004301
2021-01-21,0.00095032
2021-01-22,0.00043374
2021-01-23,0.00058383
2021-01-24,0.00101545
2021-01-25,4.816e-05
2021-01-26,0.00159224
2021-01-27,0.0
2021-01-28,0.00027202
2021-01-29,0.00050192
2021-01-30,0.00123026
2021-01-31,0.00100046
2021-02-01,0.00169336
2021-02-02,0.00104542
2021-02-03,0.00132223
2021-02-04,0.00231254
2021-02-05,0.0
2021-02-06,0.00204653
2021-02-07,0.0
2021-02-08,0.0012518
2021-02-09,0.00145051
2021-02-10,0.00360321
2021-02-11,0.00285485
2021-02-12,0.0
2021-02-13,0.00178228
2021-02-14,0.00124738
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.00203578
2021-02-18,0.00011079
2021-02-19,0.00138934
2021-02-20,0.0
2021-02-21,0.0004738
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.00041758
2021-02-25,0.0
2021-02-26,0.00046514
2021-02-27,-0.00027752
2021-02-28,0.00082118
2021-03-01,0.00075132
2021-03-02,-0.00039109
2021-03-03,0.0004276
2021-03-04,0.00030605
2021-03-05,-0.00026614
2021-03-06,9.655e-05
2021-03-07,0.00044251
2021-03-08,0.00199509
2021-03-09,0.00089383
2021-03-10,0.00040314
2021-03-11,0.00122124
2021-03-12,0.00112196
2021-03-13,0.0008735
2021-03-14,-4.707e-05
2021-03-15,0.00078641
2021-03-16,0.00120829
2021-03-17,0.00171629
2021-03-18,0.0003471
2021-03-19,0.00058491
2021-03-20,0.00080629
2021-03-21,0.00158525
2021-03-22,0.00049541
2021-03-23,0.00099545
2021-03-24,0.0
2021-03-25,0.00046528
2021-03-26,0.00121863
2021-03-27,0.00072679
2021-03-28,0.00087941
2021-03-29,0.0008883
2021-03-30,0.00219959
2021-03-31,0.00154644
2021-04-01,0.00208355
2021-04-02,0.00252223
2021-04-03,0.00142396
2021-04-04,0.00165974
2021-04-05,0.00182161
2021-04-06,0.00191082
2021-04-07,0.00086452
2021-04-08,0.0007596
2021-04-09,0.00115762
2021-04-10,0.00122568
2021-04-11,0.00298941
2021-04-12,0.00155482
2021-04-13,0.00231737
2021-04-14,0.00150303
2021-04-15,0.00097101
2021-04-16,0.00186037
2021-04-17,0.00089582
2021-04-18,0.00071669
2021-04-19,0.0
2021-04-20,0.00042722
2021-04-21,0.00041476
2021-04-22,0.00018988
2021-04-23,0.0
2021-04-24,0.00017258
2021-04-25,0.0
2021-04-26,0.00015098
2021-04-27,0.00045411
2021-04-28,0.00096605
2021-04-29,0.00072903
2021-04-30,0.00099103
2021-05-01,0.00118888
2021-05-02,0.00130477
2021-05-03,0.00050792
2021-05-04,0.00040475
2021-05-05,0.00152681
2021-05-06,0.00079452
2021-05-07,0.0002941
2021-05-08,0.00106058
2021-05-09,0.00087434
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.00021319
2021-05-14,0.00124863
2021-05-15,0.00070062
2021-05-16,-0.00057649
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,-0.00081854
2021-05-22,-0.000678
2021-05-23,0.0
2021-05-24,-0.00013302
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.00081437
2021-05-28,0.00050457
2021-05-29,-0.001983
2021-05-30,-7.409e-05
2021-05-31,-0.00019046
2021-06-01,0.00021816
2021-06-02,0.0
2021-06-03,-0.00029913
2021-06-04,0.0
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,-0.00024493
2021-06-09,-0.0001469
2021-06-10,0.0
2021-06-11,0.0
2021-06-12,-0.00027864
2021-06-13,-7.465e-05
2021-06-14,-0.00046628
2021-06-15,-0.00020113
2021-06-16,-0.00036132
2021-06-17,-0.00081162
2021-06-18,-0.00037045
2021-06-19,-0.00090256
2021-06-20,0.0
2021-06-21,-0.00058294
2021-06-22,0.00042645
2021-06-23,-0.00058762
2021-06-24,-0.0002206
2021-06-25,-0.0005143
2021-06-26,-0.00056656
2021-06-27,-0.000271
2021-06-28,-0.00024865
2021-06-29,-0.00013245
2021-06-30,-0.00029144
2021-07-01,-0.00051744
2021-07-02,-0.0003912
2021-07-03,-0.00043047
2021-07-04,-0.00034772
2021-07-05,-0.00058685
2021-07-06,-0.00104556
2021-07-07,-0.00045493
2021-07-08,-0.00023959
2021-07-09,0.0
2021-07-10,0.0
2021-07-11,-0.00031102
2021-07-12,-0.00072586
2021-07-13,-0.00029254
2021-07-14,-4.828e-05
2021-07-15,-1.763e-05
2021-07-16,0.0
2021-07-17,-0.00052143
2021-07-18,-0.0003493
2021-07-19,-0.00095508
2021-07-20,-0.00102075
2021-07-21,-0.00036073
2021-07-22,-0.00034747
2021-07-23,0.0002125
2021-07-24,-0.00020693
2021-07-25,-0.00057504
2021-07-26,-0.00035059
2021-07-27,-0.00023741
2021-07-28,0.0
2021-07-29,-0.00018236
2021-07-30,0.0
2021-07-31,-0.00019562
2021-08-01,-8.989e-05
2021-08-02,0.0
2021-08-03,0.00020695
2021-08-04,0.0
2021-08-05,0.00054931
2021-08-06,0.00012556
2021-08-07,0.0
2021-08-08,0.00062596
2021-08-09,0.00055533
2021-08-10,0.0008818
2021-08-11,0.00073031
2021-08-12,0.0
2021-08-13,0.00091322
2021-08-14,0.000808
2021-08-15,0.00111303
2021-08-16,0.00043703
2021-08-17,0.00035993
2021-08-18,0.00052635
2021-08-19,0.00129625
2021-08-20,0.00047618
2021-08-21,0.00093928
2021-08-22,0.00019999
2021-08-23,0.00093695
2021-08-24,0.00022615
2021-08-25,0.0001759
2021-08-26,0.00051965
2021-08-27,0.00099946
2021-08-28,0.00054321
2021-08-29,0.0003981
2021-08-30,0.00037472
2021-08-31,0.00065746
2021-09-01,0.00108814
2021-09-02,0.00096191
2021-09-03,0.00046878
2021-09-04,0.0017149
2021-09-05,0.00149034
2021-09-06,0.00078509
2021-09-07,-0.00012725
2021-09-08,0.0
2021-09-09,3.606e-05
2021-09-10,-0.00053333
2021-09-11,-0.00054674
2021-09-12,-0.00043991
2021-09-13,-0.00035718
2021-09-14,0.00018152
2021-09-15,0.00090459
2021-09-16,0.0003954
2021-09-17,0.0008403
2021-09-18,0.00049869
2021-09-19,0.00010877
2021-09-20,0.0
2021-09-21,-0.00012582
2021-09-22,0.0
2021-09-23,-0.00071775
2021-09-24,-6.18e-05
2021-09-25,-0.00017872
2021-09-26,-0.00037538
2021-09-27,-0.0007006
2021-09-28,-0.00052323
2021-09-29,-0.00067926
2021-09-30,-0.00016227
2021-10-01,0.0
2021-10-02,0.00028978
2021-10-03,0.00087975
2021-10-04,0.00074583
2021-10-05,0.00118616
2021-10-06,0.00078922
2021-10-07,0.00092487
2021-10-08,0.00063062
2021-10-09,0.00100947
2021-10-10,0.0
2021-10-11,-0.00034827
2021-10-12,0.00030503
2021-10-13,0.00052234
2021-10-14,0.00068598
2021-10-15,0.00098409
2021-10-16,0.00119533
2021-10-17,0.00113813
2021-10-18,0.00110224
2021-10-19,0.0009058
2021-10-20,0.00118221
2021-10-21,0.00045314
2021-10-22,0.00126826
2021-10-23,0.00142601
2021-10-24,0.00100538
2021-10-25,0.00052716
2021-10-26,0.00107886
2021-10-27,0.00046479
2021-10-28,0.00084638
2021-10-29,0.00134041
2021-10-30,0.00076949
2021-10-31,0.00157701
2021-11-01,0.00068451
2021-11-02,0.0010778
2021-11-03,0.00081917
2021-11-04,0.00094147
2021-11-05,0.00049498
2021-11-06,0.00088668
2021-11-07,0.00125679
2021-11-08,0.00111758
2021-11-09,0.00114985
2021-11-10,5.071e-05
2021-11-11,4.077e-05
2021-11-12,0.00087958
2021-11-13,0.00038418
2021-11-14,0.00047979
2021-11-15,0.00121521
2021-11-16,-0.00062732
2021-11-17,-0.00011262
2021-11-18,0.000256
2021-11-19,0.0
2021-11-20,0.00015836
2021-11-21,7.963e-05
2021-11-22,0.00058649
2021-11-23,0.00084893
2021-11-24,-0.00024333
2021-11-25,0.00088609
2021-11-26,0.00124396
2021-11-27,0.00018831
2021-11-28,0.00057514
2021-11-29,0.00042722
2021-11-30,0.00035751
2021-12-01,-0.00011716
2021-12-02,0.00043253
2021-12-03,0.0
2021-12-04,0.0
2021-12-05,0.0
2021-12-06,-0.00174479
2021-12-07,-0.00035581
2021-12-08,3.76e-05
2021-12-09,-0.00113855
2021-12-10,-0.00018405
2021-12-11,0.0
2021-12-12,0.0
2021-12-13,-0.00078048
2021-12-14,-0.00052096
2021-12-15,-0.0001897
2021-12-16,-0.00020538
2021-12-17,-0.00041522
2021-12-18,-0.00018914
2021-12-19,6.396e-05
2021-12-20,-2.954e-05
2021-12-21,0.0
2021-12-22,-0.00017981
2021-12-23,-0.00088178
2021-12-24,6.967e-05
2021-12-25,0.0
2021-12-26,-0.00030023
2021-12-27,0.0
2021-12-28,-0.000718
2021-12-29,-0.00020212
2021-12-30,-0.00086787
2021-12-31,-4.419e-05
2022-01-01,-0.00028415
2022-01-02,0.0
2022-01-03,0.0004243
2022-01-04,0.0
2022-01-05,-0.0007874
2022-01-06,-0.00086015
2022-01-07,0.0003904
2022-01-08,0.0
2022-01-09,-0.00026717
2022-01-10,-5.579e-05
2022-01-11,-0.00045445
2022-01-12,0.00213549
2022-01-13,-8.253e-05
2022-01-14,-0.00021756
2022-01-15,-0.00036186
2022-01-16,-0.00013693
2022-01-17,-0.00077007
2022-01-18,-5.636e-05
2022-01-19,-0.00072505
2022-01-20,-0.00142604
2022-01-21,0.0
2022-01-22,-0.00031376
2022-01-23,0.0
2022-01-24,-0.00054263
2022-01-25,-0.00132438
2022-01-26,-0.00016866
2022-01-27,-8.777e-05
2022-01-28,-0.00030243
2022-01-29,-0.00113851
2022-01-30,-0.00134691
2022-01-31,-0.00075921
2022-02-01,-0.0004005
2022-02-02,-0.00106322
2022-02-03,-0.00038895
2022-02-04,-7.111e-05
2022-02-05,-0.00101593
2022-02-06,-0.00051188
2022-02-07,0.0
2022-02-08,-0.00060434
2022-02-09,-1.813e-05
2022-02-10,-0.00099869
2022-02-11,-0.00030366
2022-02-12,0.0
2022-02-13,-0.00108006
2022-02-14,-0.00083362
2022-02-15,-0.00031656
2022-02-16,0.00013878
2022-02-17,-0.00047735
2022-02-18,-0.00068911
2022-02-19,-0.00014345
2022-02-20,-0.00064029
2022-02-21,-0.00013934
2022-02-22,-0.00032731
2022-02-23,-4.583e-05
2022-02-24,-0.00045117
2022-02-25,-0.00049258
2022-02-26,0.0
2022-02-27,-0.0007792
2022-02-28,-0.00094675
2022-03-01,-0.00025484
2022-03-02,-0.00058384
2022-03-03,-0.00061696
2022-03-04,-0.00030187
2022-03-05,0.00019828
2022-03-06,-0.00079662
2022-03-07,-0.00086303
2022-03-08,-0.00076297
2022-03-09,-0.00095917
2022-03-10,-0.00061144
2022-03-11,-0.0005032
2022-03-12,-0.00070778
2022-03-13,-0.00061057
2022-03-14,-0.00064213
2022-03-15,-0.00110657
2022-03-16,-0.0004346
2022-03-17,7.4e-07
2022-03-18,0.0
2022-03-19,-4.612e-05
2022-03-20,0.0
2022-03-21,-0.00085705
2022-03-22,-0.00035915
2022-03-23,-0.0015161
2022-03-24,0.00043172
2022-03-25,-0.00010418
2022-03-26,-0.00049154
2022-03-27,-3.964e-05
2022-03-28,0.00023159
2022-03-29,-0.00029162
2022-03-30,2.762e-05
2022-03-31,-0.00033612
2022-04-01,-0.00023331
2022-04-02,0.0
2022-04-03,-5.586e-05
2022-04-04,-0.00025252
2022-04-05,-0.00088236
2022-04-06,7.683e-05
2022-04-07,-0.00066783
2022-04-08,0.0
2022-04-09,-7.716e-05
2022-04-10,-0.00110516
2022-04-11,0.00045752
2022-04-12,-5.76e-05
2022-04-13,0.0002314
2022-04-14,-0.00103392
2022-04-15,-0.00127735
2022-04-16,-0.00039851
2022-04-17,-0.0011248
2022-04-18,-0.00025211
2022-04-19,3.792e-05
2022-04-20,-0.00084834
2022-04-21,-0.0010804
2022-04-22,-0.00070975
2022-04-23,0.00036584
2022-04-24,-0.00084364
2022-04-25,-0.0003689
2022-04-26,-0.00054244
2022-04-27,-0.00028735
2022-04-28,-0.00035705
2022-04-29,-0.00042309
2022-04-30,-0.0008505
2022-05-01,-0.00052573
2022-05-02,-0.00045528
2022-05-03,-0.00051232
2022-05-04,-0.00020795
2022-05-05,-0.00077647
2022-05-06,-0.00014236
2022-05-07,-0.00033793
2022-05-08,-0.00055015
2022-05-09,-0.00282805
2022-05-10,-0.00108174
2022-05-11,0.0
2022-05-12,-0.00072132
2022-05-13,-0.00050555
2022-05-14,-0.00058942
2022-05-15,-0.00064947
2022-05-16,-0.00046846
2022-05-17,-0.00085981
2022-05-18,-0.00045966
2022-05-19,-0.00050798
2022-05-20,-0.00081784
2022-05-21,-0.00051793
2022-05-22,-0.00030369
2022-05-23,-0.00018973
2022-05-24,-0.00058105
2022-05-25,-0.00052346
2022-05-26,-0.00068587
2022-05-27,-5.442e-05
2022-05-28,-0.00069056
2022-05-29,-0.00047724
2022-05-30,-0.0001788
2022-05-31,-2.233e-05
2022-06-01,-0.0007738
2022-06-02,-0.00072282
2022-06-03,-0.00076796
2022-06-04,-0.00042899
2022-06-05,0.0
2022-06-06,-0.0003893
2022-06-07,-8.48e-05
2022-06-08,-0.00014999
2022-06-09,-2.246e-05
2022-06-10,-0.00072416
2022-06-11,-0.0004688
2022-06-12,-0.00138759
2022-06-13,-0.0001999
2022-06-14,-0.00040829
2022-06-15,-0.0002214
2022-06-16,-0.00057179
2022-06-17,0.0
2022-06-18,-0.00101744
2022-06-19,-0.00018736
2022-06-20,-5.723e-05
2022-06-21,-0.00040776
2022-06-22,-0.00081286
2022-06-23,-0.00056626
2022-06-24,-0.00034173
2022-06-25,-0.00056702
2022-06-26,-0.00047525
2022-06-27,-0.0002125
2022-06-28,-0.0004294
2022-06-29,-0.00109985
2022-06-30,-0.00047496
2022-07-01,-0.00074296
2022-07-02,-0.00042229
2022-07-03,-0.00042404
2022-07-04,-0.00031974
2022-07-05,-0.00065005
2022-07-06,-0.0006543
2022-07-07,-0.00043908
2022-07-08,-0.00076698
2022-07-09,-0.00059549
2022-07-10,-0.00049643
2022-07-11,-0.0007
2022-07-12,0.0
2022-07-13,-0.00056132
2022-07-14,-0.00041665
2022-07-15,-0.00021972
2022-07-16,-4.714e-05
2022-07-17,0.0
2022-07-18,-0.00023869
2022-07-19,-0.00024074
2022-07-20,-0.00014481
2022-07-21,-0.00055109
2022-07-22,-0.00016806
2022-07-23,-0.00050066
2022-07-24,-0.00011987
2022-07-25,-0.00050677
2022-07-26,-0.00105127
2022-07-27,-4.117e-05
2022-07-28,-0.00016035
2022-07-29,2.004e-05
2022-07-30,0.0
2022-07-31,-0.00021012
2022-08-01,-0.00043023
2022-08-02,-0.00082596
2022-08-03,-0.00074704
2022-08-04,-0.00052127
2022-08-05,-1.573e-05
2022-08-06,-0.0004605
2022-08-07,-0.00011205
2022-08-08,-0.000426
2022-08-09,-0.00083179
2022-08-10,-0.00013081
2022-08-11,0.0
2022-08-12,-0.00023937
2022-08-13,-0.00020888
2022-08-14,-0.00065856
2022-08-15,-0.00041026
2022-08-16,-0.00050964
2022-08-17,-0.00018006
2022-08-18,-0.00084316
2022-08-19,-0.00039073
2022-08-20,-0.00075643
2022-08-21,-0.00032377
2022-08-22,-0.00054948
2022-08-23,-0.00085377
2022-08-24,-0.00063111
2022-08-25,-0.00032992
2022-08-26,-0.00098469
2022-08-27,-0.0005272
2022-08-28,-0.000629
2022-08-29,-0.00025455
2022-08-30,-0.00030471
2022-08-31,-0.00072462
2022-09-01,-0.00021843
2022-09-02,-0.00054703
2022-09-03,-0.00048874
2022-09-04,-0.00025747
2022-09-05,-0.000458
2022-09-06,-0.00016723
2022-09-07,-0.00036076
2022-09-08,0.0
2022-09-09,-0.00024471
2022-09-10,-0.00064543
2022-09-11,-0.00059635
2022-09-12,0.0
2022-09-13,-0.00058437
2022-09-14,-0.00076893
2022-09-15,-0.00078702
2022-09-16,-0.00066765
2022-09-17,-0.00065703
2022-09-18,0.0
2022-09-19,-0.00066912
2022-09-20,-0.00060501
2022-09-21,-0.00133993
2022-09-22,-0.00058142
2022-09-23,-8.799e-05
2022-09-24,-0.00058521
2022-09-25,-0.0005433
2022-09-26,-0.00041991
2022-09-27,-0.00049809
2022-09-28,-0.00047651
2022-09-29,-0.00045767
2022-09-30,-0.00030867
2022-10-01,-0.00045343
2022-10-02,-0.00048922
2022-10-03,-0.00045842
2022-10-04,-0.00028172
2022-10-05,-0.00042314
2022-10-06,-0.00037456
2022-10-07,-0.00034969
2022-10-08,-0.00031113
2022-10-09,-0.00044163
2022-10-10,-0.00097051
2022-10-11,-0.00033478
2022-10-12,-0.00100532
2022-10-13,-0.00046559
2022-10-14,-0.00089105
2022-10-15,-0.00077716
2022-10-16,-0.00050862
2022-10-17,-0.00041659
2022-10-18,-0.0007336
2022-10-19,-0.0003185
2022-10-20,-0.00051488
2022-10-21,-0.00034352
2022-10-22,-0.00055843
2022-10-23,-0.00063178
2022-10-24,-0.00061836
2022-10-25,-0.00045289
2022-10-26,-0.00071237
2022-10-27,-0.00048361
2022-10-28,-0.00024101
2022-10-29,-0.00058571
2022-10-30,-0.00030563
2022-10-31,-0.00065196
2022-11-01,-0.000472
2022-11-02,-0.00070458
2022-11-03,-0.00080869
2022-11-04,-0.00065272
2022-11-05,-0.00045175
2022-11-06,-0.00076095
2022-11-07,-0.00055774
2022-11-08,-0.00043487
2022-11-09,-0.00050206
2022-11-10,-0.00017061
2022-11-11,-0.00043981
2022-11-12,-0.00026666
2022-11-13,-9.44e-06
2022-11-14,0.0
2022-11-15,-0.00046252
2022-11-16,-0.00089447
2022-11-17,-0.000383
2022-11-18,-0.00088899
2022-11-19,-0.00021729
2022-11-20,-0.00050607
2022-11-21,-0.00030375
2022-11-22,-1.557e-05
2022-11-23,-0.00045645
2022-11-24,-0.00011932
2022-11-25,-0.00064258
2022-11-26,-0.00021952
2022-11-27,-0.00034777
2022-11-28,-0.00025395
2022-11-29,-0.00038237
2022-11-30,-0.0003525
2022-12-01,0.0
