datetime,premium
2021-01-01,0.00150574
2021-01-02,0.0009154
2021-01-03,0.0018911
2021-01-04,-0.00054312
2021-01-05,0.00033046
2021-01-06,0.00156638
2021-01-07,-0.00075384
2021-01-08,0.00133606
2021-01-09,0.00091607
2021-01-10,-0.00043294
2021-01-11,-0.00156181
2021-01-12,0.00119772
2021-01-13,0.00175798
2021-01-14,0.00111174
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,0.00234153
2021-01-19,-0.00194835
2021-01-20,0.00062361
2021-01-21,0.0
2021-01-22,-0.00054297
2021-01-23,6.476e-05
2021-01-24,0.00070596
2021-01-25,0.0
2021-01-26,0.00085154
2021-01-27,0.0
2021-01-28,-0.00087096
2021-01-29,0.00044081
2021-01-30,-0.00061038
2021-01-31,0.00022236
2021-02-01,0.0
2021-02-02,-0.00182851
2021-02-03,-0.00055238
2021-02-04,0.0
2021-02-05,0.00136659
2021-02-06,-0.0027597
2021-02-07,-0.00190964
2021-02-08,0.0034208
2021-02-09,-0.00088699
2021-02-10,0.00136584
2021-02-11,0.0
2021-02-12,-0.00019834
2021-02-13,0.00149815
2021-02-14,0.0
2021-02-15,0.00037843
2021-02-16,0.00129903
2021-02-17,0.00124639
2021-02-18,-0.00012305
2021-02-19,0.00252328
2021-02-20,-0.00240221
2021-02-21,-5.19e-06
2021-02-22,0.00113635
2021-02-23,-0.00119276
2021-02-24,0.00018952
2021-02-25,-0.00140572
2021-02-26,-0.00107831
2021-02-27,-0.00025255
2021-02-28,0.0002122
2021-03-01,0.00024391
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,-0.00028236
2021-03-06,0.0
2021-03-07,0.00040322
2021-03-08,-4.367e-05
2021-03-09,0.00097376
2021-03-10,0.00033785
2021-03-11,0.00038794
2021-03-12,0.00061007
2021-03-13,0.00246552
2021-03-14,4.659e-05
2021-03-15,0.00010036
2021-03-16,0.00115547
2021-03-17,0.00044772
2021-03-18,0.00070206
2021-03-19,-0.0001998
2021-03-20,0.00029229
2021-03-21,0.00054405
2021-03-22,0.00029683
2021-03-23,0.00015622
2021-03-24,0.0
2021-03-25,-0.00074058
2021-03-26,-9.614e-05
2021-03-27,0.0010553
2021-03-28,0.00037368
2021-03-29,0.00061005
2021-03-30,0.00345259
2021-03-31,0.00102168
2021-04-01,0.00128803
2021-04-02,0.00124954
2021-04-03,0.00080276
2021-04-04,0.00075533
2021-04-05,0.00130097
2021-04-06,0.00046137
2021-04-07,0.00091441
2021-04-08,0.00049375
2021-04-09,0.0016959
2021-04-10,0.00293847
2021-04-11,0.00042115
2021-04-12,0.00216043
2021-04-13,0.0037563
2021-04-14,-0.00044409
2021-04-15,0.00131574
2021-04-16,0.00065647
2021-04-17,0.00103909
2021-04-18,0.0015237
2021-04-19,0.000125
2021-04-20,0.00072227
2021-04-21,0.00086086
2021-04-22,0.00077344
2021-04-23,-0.00085741
2021-04-24,0.0
2021-04-25,0.00123507
2021-04-26,0.0
2021-04-27,0.00052704
2021-04-28,0.00036489
2021-04-29,0.00090386
2021-04-30,0.00146395
2021-05-01,0.00143621
2021-05-02,0.00021986
2021-05-03,0.00109256
2021-05-04,0.00129209
2021-05-05,0.00104033
2021-05-06,0.00042081
2021-05-07,0.00065358
2021-05-08,0.00010121
2021-05-09,0.00044332
2021-05-10,0.00023144
2021-05-11,-0.00051934
2021-05-12,0.00201479
2021-05-13,-0.00019981
2021-05-14,0.00088911
2021-05-15,0.00101583
2021-05-16,4.44e-05
2021-05-17,0.00039217
2021-05-18,4.195e-05
2021-05-19,-3.893e-05
2021-05-20,-0.00022146
2021-05-21,-0.00049101
2021-05-22,-3.117e-05
2021-05-23,-0.00028959
2021-05-24,0.0
2021-05-25,0.00091992
2021-05-26,0.0
2021-05-27,8.887e-05
2021-05-28,0.0005811
2021-05-29,-0.00351744
2021-05-30,-9.595e-05
2021-05-31,-0.00079797
2021-06-01,-0.00054222
2021-06-02,-0.00034512
2021-06-03,0.00034613
2021-06-04,0.0
2021-06-05,-0.0006804
2021-06-06,-8.176e-05
2021-06-07,5.821e-05
2021-06-08,-0.00063068
2021-06-09,-0.00018954
2021-06-10,-0.00024782
2021-06-11,-0.00043556
2021-06-12,2.477e-05
2021-06-13,-0.00018522
2021-06-14,-0.00068737
2021-06-15,-0.0001578
2021-06-16,-0.00012988
2021-06-17,-0.00098307
2021-06-18,-0.00091318
2021-06-19,-0.00078144
2021-06-20,-0.00015486
2021-06-21,-0.00159884
2021-06-22,-2.023e-05
2021-06-23,-0.00163488
2021-06-24,-2.66e-06
2021-06-25,-0.0006256
2021-06-26,-4.805e-05
2021-06-27,-0.00036318
2021-06-28,-0.00064171
2021-06-29,0.0
2021-06-30,-0.00056315
2021-07-01,-0.00027543
2021-07-02,-0.00108259
2021-07-03,-0.00023136
2021-07-04,-0.00061847
2021-07-05,-0.00024158
2021-07-06,-0.00081107
2021-07-07,-0.00023091
2021-07-08,-0.0014512
2021-07-09,-0.00054615
2021-07-10,0.0
2021-07-11,-0.00104443
2021-07-12,-0.00144076
2021-07-13,-0.00032878
2021-07-14,-0.00028655
2021-07-15,-0.00039355
2021-07-16,-0.0002406
2021-07-17,-0.00115052
2021-07-18,-0.0009942
2021-07-19,-0.00118603
2021-07-20,-0.00081948
2021-07-21,-0.0006573
2021-07-22,-0.00148843
2021-07-23,0.0
2021-07-24,-0.00015715
2021-07-25,-0.0014255
2021-07-26,-0.0007556
2021-07-27,-0.00076523
2021-07-28,-0.00014259
2021-07-29,0.00023438
2021-07-30,0.00047479
2021-07-31,0.00022076
2021-08-01,4.462e-05
2021-08-02,-0.00029098
2021-08-03,0.00028254
2021-08-04,0.00010982
2021-08-05,0.00042047
2021-08-06,-0.00011634
2021-08-07,3.79e-05
2021-08-08,0.00054619
2021-08-09,1.124e-05
2021-08-10,0.00016719
2021-08-11,0.00080193
2021-08-12,0.0002528
2021-08-13,0.00089489
2021-08-14,0.00053204
2021-08-15,0.00064071
2021-08-16,0.00025801
2021-08-17,0.00042458
2021-08-18,-0.0003997
2021-08-19,0.00045907
2021-08-20,0.00069297
2021-08-21,0.00091833
2021-08-22,0.00093168
2021-08-23,0.0
2021-08-24,0.00126356
2021-08-25,0.00059959
2021-08-26,-3.141e-05
2021-08-27,0.00104934
2021-08-28,0.00082379
2021-08-29,0.00053167
2021-08-30,0.00050054
2021-08-31,0.00107852
2021-09-01,0.00013822
2021-09-02,0.00073853
2021-09-03,0.0011994
2021-09-04,0.00133905
2021-09-05,0.00139196
2021-09-06,0.00055524
2021-09-07,8.092e-05
2021-09-08,-0.00076109
2021-09-09,0.00013809
2021-09-10,0.0
2021-09-11,-2.702e-05
2021-09-12,0.00018386
2021-09-13,0.00014685
2021-09-14,-0.00022485
2021-09-15,0.00011389
2021-09-16,0.00073487
2021-09-17,0.00093618
2021-09-18,0.0
2021-09-19,0.00058009
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,-0.00033543
2021-09-24,-0.00036101
2021-09-25,-0.00035756
2021-09-26,-0.0003144
2021-09-27,-0.00100679
2021-09-28,-0.00064311
2021-09-29,-0.00271934
2021-09-30,-0.00157866
2021-10-01,-0.00059992
2021-10-02,-0.00092802
2021-10-03,-0.00083441
2021-10-04,0.0
2021-10-05,-0.00072487
2021-10-06,-0.00045437
2021-10-07,-0.00062187
2021-10-08,0.00034794
2021-10-09,0.00096643
2021-10-10,0.00026342
2021-10-11,0.00057429
2021-10-12,0.00096008
2021-10-13,-0.00115383
2021-10-14,-0.00094797
2021-10-15,-0.00015037
2021-10-16,-0.00126901
2021-10-17,-0.00041836
2021-10-18,-0.0006442
2021-10-19,-0.00210413
2021-10-20,-0.00069697
2021-10-21,0.00092095
2021-10-22,0.00101696
2021-10-23,0.00151606
2021-10-24,0.0011094
2021-10-25,0.00084561
2021-10-26,0.00044255
2021-10-27,-0.00020034
2021-10-28,0.0
2021-10-29,0.00081951
2021-10-30,0.00108656
2021-10-31,-0.00030668
2021-11-01,-0.00019313
2021-11-02,0.00022687
2021-11-03,0.0
2021-11-04,0.00018097
2021-11-05,-0.00116751
2021-11-06,-0.00011339
2021-11-07,0.0
2021-11-08,-0.00024889
2021-11-09,0.00030168
2021-11-10,-0.00112927
