datetime,premium
2021-01-01,0.00030875
2021-01-02,0.00022777
2021-01-03,0.0016545
2021-01-04,0.00107243
2021-01-05,0.00137275
2021-01-06,0.00217334
2021-01-07,0.00149744
2021-01-08,0.00140299
2021-01-09,0.00093779
2021-01-10,0.00129827
2021-01-11,0.00022493
2021-01-12,0.00017379
2021-01-13,0.00127384
2021-01-14,0.0005705
2021-01-15,-0.00018846
2021-01-16,0.00052984
2021-01-17,0.00130561
2021-01-18,0.00165549
2021-01-19,-0.00044815
2021-01-20,0.00096412
2021-01-21,0.0017035
2021-01-22,0.00083194
2021-01-23,0.0004377
2021-01-24,0.00056492
2021-01-25,0.00016724
2021-01-26,6.317e-05
2021-01-27,-0.00012188
2021-01-28,0.00095857
2021-01-29,0.00020252
2021-01-30,0.00083499
2021-01-31,0.00095623
2021-02-01,0.00081635
2021-02-02,0.00125935
2021-02-03,0.0006317
2021-02-04,0.00063274
2021-02-05,0.0017225
2021-02-06,0.00152448
2021-02-07,0.0010917
2021-02-08,0.0011172
2021-02-09,0.00186391
2021-02-10,0.00105279
2021-02-11,0.00200401
2021-02-12,0.00170573
2021-02-13,0.00125333
2021-02-14,0.00132738
2021-02-15,0.00168538
2021-02-16,0.0011386
2021-02-17,0.00150487
2021-02-18,0.00062978
2021-02-19,0.00181396
2021-02-20,0.0009889
2021-02-21,0.00112504
2021-02-22,0.0008566
2021-02-23,0.00050379
2021-02-24,0.00091177
2021-02-25,-0.00094936
2021-02-26,0.00025406
2021-02-27,-2.022e-05
2021-02-28,0.00098378
2021-03-01,2.418e-05
2021-03-02,0.00039076
2021-03-03,0.00032745
2021-03-04,0.00032163
2021-03-05,0.00053199
2021-03-06,0.00037184
2021-03-07,-0.00016953
2021-03-08,0.00092612
2021-03-09,0.00066952
2021-03-10,0.00198627
2021-03-11,0.00128054
2021-03-12,0.00079758
2021-03-13,0.00099317
2021-03-14,0.00047198
2021-03-15,0.00099851
2021-03-16,0.00089786
2021-03-17,0.00065526
2021-03-18,0.00091404
2021-03-19,0.00093409
2021-03-20,0.00084438
2021-03-21,0.00135479
2021-03-22,0.00056186
2021-03-23,0.00095873
2021-03-24,5.152e-05
2021-03-25,0.00039677
2021-03-26,3.537e-05
