datetime,premium
2021-01-01,0.0017318
2021-01-02,0.00228423
2021-01-03,0.00299407
2021-01-04,0.00052467
2021-01-05,0.00104189
2021-01-06,0.00319805
2021-01-07,0.00146537
2021-01-08,0.0
2021-01-09,0.00220194
2021-01-10,0.00164542
2021-01-11,0.00190108
2021-01-12,0.0
2021-01-13,0.00148018
2021-01-14,0.00188689
2021-01-15,0.00188424
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,0.00089116
2021-01-19,0.0
2021-01-20,0.00047128
2021-01-21,1.995e-05
2021-01-22,0.00023506
2021-01-23,0.00073605
2021-01-24,0.00213181
2021-01-25,0.0
2021-01-26,0.00136345
2021-01-27,0.0
2021-01-28,0.00093403
2021-01-29,0.00059709
2021-01-30,0.00265114
2021-01-31,0.00062536
2021-02-01,0.00158812
2021-02-02,0.00285036
2021-02-03,0.00161233
2021-02-04,0.00052305
2021-02-05,0.00127295
2021-02-06,0.00294344
2021-02-07,0.00042608
2021-02-08,0.00183933
2021-02-09,0.00259112
2021-02-10,0.00011437
2021-02-11,0.0017373
2021-02-12,0.00303086
2021-02-13,0.00244732
2021-02-14,0.000119
2021-02-15,0.0032097
2021-02-16,0.00131305
2021-02-17,0.00211016
2021-02-18,0.0011654
2021-02-19,0.00173759
2021-02-20,8.611e-05
2021-02-21,0.00105035
2021-02-22,0.00052057
2021-02-23,0.00172594
2021-02-24,0.00073844
2021-02-25,0.0
2021-02-26,0.00113771
2021-02-27,0.0
2021-02-28,0.0014655
2021-03-01,0.000372
2021-03-02,0.00063892
2021-03-03,0.0
2021-03-04,0.00073783
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,0.00023932
2021-03-08,0.00131474
2021-03-09,0.0010156
2021-03-10,0.00043743
2021-03-11,0.00181911
2021-03-12,0.0
2021-03-13,0.00136177
2021-03-14,0.0
2021-03-15,2.524e-05
2021-03-16,0.001697
2021-03-17,0.00063935
2021-03-18,0.00055225
2021-03-19,0.00090652
2021-03-20,0.0011885
2021-03-21,0.00063187
2021-03-22,0.00087912
2021-03-23,0.00075189
2021-03-24,0.0
2021-03-25,0.00046333
2021-03-26,0.00059826
2021-03-27,0.00117692
2021-03-28,0.00056483
2021-03-29,0.00047596
2021-03-30,0.00106323
2021-03-31,0.00179873
2021-04-01,0.00051295
2021-04-02,0.0017493
2021-04-03,0.00170968
2021-04-04,0.00144448
2021-04-05,0.00203741
2021-04-06,0.00133935
2021-04-07,0.00080645
2021-04-08,0.00110654
2021-04-09,0.00115151
2021-04-10,0.00148873
2021-04-11,0.00257378
2021-04-12,0.00106728
2021-04-13,0.00148709
2021-04-14,0.00228614
2021-04-15,0.00043261
2021-04-16,0.00023764
2021-04-17,0.00077573
2021-04-18,0.00093186
2021-04-19,-0.00086505
2021-04-20,0.00032109
2021-04-21,9.573e-05
2021-04-22,0.0
2021-04-23,0.0009239
2021-04-24,0.0
2021-04-25,0.0
2021-04-26,0.00052014
2021-04-27,0.00064027
2021-04-28,0.00102618
2021-04-29,0.00154871
2021-04-30,0.00045031
2021-05-01,0.00183759
2021-05-02,0.00138671
2021-05-03,0.00085754
2021-05-04,0.00026161
2021-05-05,0.00164362
2021-05-06,0.00060704
2021-05-07,0.00030468
2021-05-08,0.00107667
2021-05-09,0.00053698
2021-05-10,-3.396e-05
2021-05-11,0.00043043
2021-05-12,0.00220219
2021-05-13,0.00036837
2021-05-14,0.00128762
2021-05-15,0.00053334
2021-05-16,-4.14e-05
2021-05-17,0.00044432
2021-05-18,0.00050254
2021-05-19,0.0
2021-05-20,3.216e-05
2021-05-21,0.00173946
2021-05-22,0.0
2021-05-23,-0.00197863
2021-05-24,0.00137067
2021-05-25,0.00012501
2021-05-26,0.00069688
2021-05-27,0.00136038
2021-05-28,-0.00085331
2021-05-29,-0.00121472
2021-05-30,-9.975e-05
2021-05-31,0.0
2021-06-01,1.172e-05
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,-0.00055857
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.00034784
2021-06-08,-0.00011183
2021-06-09,0.0
2021-06-10,-6.388e-05
2021-06-11,0.0
2021-06-12,-0.0001693
2021-06-13,-0.00051119
2021-06-14,-0.00053609
2021-06-15,-0.00027808
2021-06-16,-0.00030705
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,-0.00070908
2021-06-20,-0.0001921
2021-06-21,-0.00161486
2021-06-22,0.00062671
2021-06-23,0.00110861
2021-06-24,0.0
2021-06-25,-0.00178981
2021-06-26,-0.00030754
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,0.00016051
2021-06-30,0.0
2021-07-01,-0.00068854
2021-07-02,-0.00052819
2021-07-03,0.00010697
2021-07-04,-0.00015506
2021-07-05,0.0
2021-07-06,-0.00014772
2021-07-07,0.0
2021-07-08,-0.00045649
2021-07-09,-3.453e-05
2021-07-10,-0.00032586
2021-07-11,0.0
2021-07-12,-0.00044649
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-17,-0.00063334
2021-07-18,-0.00017086
2021-07-19,-0.00045302
2021-07-20,-0.00083462
2021-07-21,-0.0003188
2021-07-22,-0.00026554
2021-07-23,0.0
2021-07-24,-0.00038477
2021-07-25,-0.00126596
2021-07-26,-0.0012466
2021-07-27,-0.00079379
2021-07-28,0.00015812
2021-07-29,-0.00016499
2021-07-30,0.0
2021-07-31,0.00060528
2021-08-01,0.0
2021-08-02,0.0
2021-08-03,0.00061491
2021-08-04,0.00046297
2021-08-05,0.0
2021-08-06,0.00073986
2021-08-07,0.00038856
2021-08-08,0.00041639
2021-08-09,0.0
2021-08-10,0.0002543
2021-08-11,0.00015436
2021-08-12,0.00013934
2021-08-13,0.00074161
2021-08-14,0.00128355
2021-08-15,0.00117273
2021-08-16,0.00030738
2021-08-17,0.00025876
2021-08-18,2.366e-05
2021-08-19,0.0004229
2021-08-20,0.00057827
2021-08-21,0.00061046
2021-08-22,0.00090329
2021-08-23,0.00131163
2021-08-24,0.00056622
2021-08-25,0.00047691
2021-08-26,0.00010267
2021-08-27,0.00093671
2021-08-28,0.00124394
2021-08-29,0.00107931
2021-08-30,0.00128124
2021-08-31,0.00069161
2021-09-01,0.00103979
2021-09-02,0.00090723
2021-09-03,0.00117806
2021-09-04,0.0005604
2021-09-05,0.00247074
2021-09-06,0.00101089
2021-09-07,0.00149827
2021-09-08,0.00055058
2021-09-09,0.00043628
2021-09-10,0.00029883
2021-09-11,0.0
2021-09-12,0.00089728
2021-09-13,0.00053237
2021-09-14,0.00050912
2021-09-15,0.0
2021-09-16,0.0006429
2021-09-17,0.00111621
2021-09-18,0.00054773
2021-09-19,0.00030234
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,-1.947e-05
2021-09-24,0.0
2021-09-25,-0.00038384
2021-09-26,-0.00025919
2021-09-27,0.0
2021-09-28,-0.00025082
2021-09-29,-0.00091088
2021-09-30,-1.346e-05
2021-10-01,0.0
2021-10-02,-0.00014091
2021-10-03,0.00042829
2021-10-04,0.00026824
2021-10-05,0.00122278
2021-10-06,0.00017372
2021-10-07,0.00075801
2021-10-08,0.00043937
2021-10-09,0.00077003
2021-10-10,6.306e-05
2021-10-11,0.0
2021-10-12,0.00048614
2021-10-13,0.00068359
2021-10-14,0.00097764
2021-10-15,0.00036112
2021-10-16,0.00077459
2021-10-17,0.00039429
2021-10-18,0.00067357
2021-10-19,0.00042854
2021-10-20,0.00108056
2021-10-21,0.00141402
2021-10-22,0.00068742
2021-10-23,0.00090809
2021-10-24,0.00015555
2021-10-25,0.00074456
2021-10-26,0.00061131
2021-10-27,-0.00016375
2021-10-28,0.0
2021-10-29,0.00067199
2021-10-30,0.00068866
2021-10-31,0.00099136
2021-11-01,0.00089214
2021-11-02,0.00057695
2021-11-03,0.00035353
2021-11-04,0.00040361
2021-11-05,0.00096909
2021-11-06,0.0001077
2021-11-07,0.00130155
2021-11-08,0.00138948
2021-11-09,0.00102739
2021-11-10,0.00065193
2021-11-11,7.083e-05
2021-11-12,0.0
2021-11-13,6.9e-07
2021-11-14,0.00049239
2021-11-15,0.00090511
2021-11-16,0.0
2021-11-17,0.00033784
2021-11-18,0.0008111
2021-11-19,0.0
2021-11-20,0.00061142
2021-11-21,-0.00048597
2021-11-22,0.0
2021-11-23,0.00053489
2021-11-24,0.00047506
2021-11-25,0.00107216
2021-11-26,0.00111387
2021-11-27,0.00034897
2021-11-28,0.00032141
2021-11-29,0.00025245
2021-11-30,0.00073241
2021-12-01,0.00023635
2021-12-02,0.00030005
2021-12-03,-0.00016183
2021-12-04,-0.00023154
2021-12-05,0.0
2021-12-06,-0.00166885
2021-12-07,0.00064018
2021-12-08,0.0
2021-12-09,-2.323e-05
2021-12-10,0.0
2021-12-11,-0.00058963
2021-12-12,-7.862e-05
2021-12-13,-0.00071976
2021-12-14,-0.00094648
2021-12-15,-0.00071262
2021-12-16,0.0
2021-12-17,-0.000438
2021-12-18,-0.00046447
2021-12-19,0.0
2021-12-20,7.08e-06
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,-0.00032056
2021-12-24,1.277e-05
2021-12-25,0.0
2021-12-26,-3.818e-05
2021-12-27,0.00028485
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,-0.00043013
2021-12-31,-0.00016639
2022-01-01,-0.00031783
2022-01-02,0.0
2022-01-03,-0.00052944
2022-01-04,-0.00027473
2022-01-05,-0.00161905
2022-01-06,0.0
2022-01-07,0.00041646
2022-01-08,0.0
2022-01-09,-0.0002959
2022-01-10,0.0
2022-01-11,-1.897e-05
2022-01-12,9.682e-05
2022-01-13,0.00045973
2022-01-14,-0.00103559
2022-01-15,-0.00018255
2022-01-16,3.889e-05
2022-01-17,-0.00074033
2022-01-18,-0.00059904
2022-01-19,-0.00026204
2022-01-20,-0.00021979
2022-01-21,0.0
2022-01-22,-1.425e-05
2022-01-23,0.0
2022-01-24,-3.719e-05
2022-01-25,-0.00060274
2022-01-26,-0.00022991
2022-01-27,-0.00081008
2022-01-28,-0.00041898
2022-01-29,-0.0012558
2022-01-30,-0.00058545
2022-01-31,-0.00040087
2022-02-01,-0.00012255
2022-02-02,-0.00081016
2022-02-03,-0.00087004
2022-02-04,-0.00024221
2022-02-05,-0.00064857
2022-02-06,0.0
2022-02-07,-0.00026948
2022-02-08,-0.00042445
2022-02-09,-5.678e-05
2022-02-10,-0.00118976
2022-02-11,-0.00062258
2022-02-12,0.00035595
2022-02-13,-0.00066661
2022-02-14,-0.00041134
2022-02-15,-0.0004073
2022-02-16,0.0
2022-02-17,-0.00106603
2022-02-18,-0.00051977
2022-02-19,0.0
2022-02-20,8.445e-05
2022-02-21,-0.00039382
2022-02-22,-0.00028658
2022-02-23,0.0
2022-02-24,-6.12e-05
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,-0.00031052
2022-03-01,0.0
2022-03-02,-0.00020465
2022-03-03,-0.00047441
2022-03-04,-0.00011211
2022-03-05,-0.00022201
2022-03-06,-0.00014194
2022-03-07,-0.00084825
2022-03-08,-8.31e-06
2022-03-09,-0.00034547
2022-03-10,0.0
2022-03-11,-0.00066136
2022-03-12,-0.00061757
2022-03-13,0.0
2022-03-14,-0.00088901
2022-03-15,0.0
2022-03-16,-0.0001258
2022-03-17,0.00019337
2022-03-18,-0.00064355
2022-03-19,-0.00017985
2022-03-20,0.0
2022-03-21,-0.00052872
2022-03-22,-0.00027224
2022-03-23,-1.667e-05
2022-03-24,0.0
2022-03-25,-0.00036041
2022-03-26,-0.00037648
2022-03-27,-0.00011016
2022-03-28,0.00063279
2022-03-29,-0.00058791
2022-03-30,0.0
2022-03-31,-0.00020584
2022-04-01,0.00011226
2022-04-02,0.00028263
2022-04-03,0.0
2022-04-04,0.0004385
2022-04-05,0.0
2022-04-06,-7.8e-05
2022-04-07,-0.00024282
2022-04-08,-0.00069476
2022-04-09,0.0
2022-04-10,-0.00096116
