datetime,premium
2021-01-01,0.00073459
2021-01-02,0.00096332
2021-01-03,0.00533192
2021-01-04,0.00161208
2021-01-05,0.000147
2021-01-06,0.00093146
2021-01-07,0.00060649
2021-01-08,0.00086757
2021-01-09,0.00157919
2021-01-10,0.00109243
2021-01-11,0.00040504
2021-01-12,0.00098169
2021-01-13,0.00105842
2021-01-14,0.00125267
2021-01-15,0.0
2021-01-16,0.00035486
2021-01-17,0.00106973
2021-01-18,0.00115435
2021-01-19,0.0
2021-01-20,0.00199653
2021-01-21,0.00054928
2021-01-22,0.0
2021-01-23,0.00154626
2021-01-24,0.00151334
2021-01-25,0.0
2021-01-26,0.00100732
2021-01-27,3.875e-05
2021-01-28,0.000495
2021-01-29,0.001182
2021-01-30,0.00432792
2021-01-31,0.00111822
2021-02-01,0.00159105
2021-02-02,0.00206464
2021-02-03,0.00180447
2021-02-04,0.00182981
2021-02-05,0.00267834
2021-02-06,0.00207461
2021-02-07,0.00093629
2021-02-08,0.00216492
2021-02-09,0.00157535
2021-02-10,0.00200219
2021-02-11,0.00297542
2021-02-12,0.00269777
2021-02-13,0.00256475
2021-02-14,0.00145334
2021-02-15,0.0006466
2021-02-16,0.00088286
2021-02-17,0.00269143
2021-02-18,0.00050207
2021-02-19,0.00298421
2021-02-20,0.0
2021-02-21,0.00243589
2021-02-22,0.0015591
2021-02-23,0.00129659
2021-02-24,0.00055414
2021-02-25,-0.00064549
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,0.00081232
2021-03-01,0.00044548
2021-03-02,0.00057147
2021-03-03,0.00025757
2021-03-04,0.00074294
2021-03-05,0.00082532
2021-03-06,0.0
2021-03-07,0.00044778
2021-03-08,0.00140708
2021-03-09,0.00164731
2021-03-10,0.00082935
2021-03-11,0.00134069
2021-03-12,0.00032498
2021-03-13,0.00104595
2021-03-14,0.00136749
2021-03-15,0.00041311
2021-03-16,0.00089743
2021-03-17,0.0015151
2021-03-18,0.00114535
2021-03-19,0.00056679
2021-03-20,0.00097152
2021-03-21,0.00129163
2021-03-22,0.00141615
2021-03-23,0.00093709
2021-03-24,-0.00045198
2021-03-25,0.00044503
2021-03-26,0.00032479
2021-03-27,0.000178
2021-03-28,0.00104328
2021-03-29,0.00102242
2021-03-30,0.0011223
2021-03-31,0.00183369
2021-04-01,0.00099391
2021-04-02,0.00112334
2021-04-03,0.00071875
2021-04-04,0.00069464
2021-04-05,0.00104828
2021-04-06,0.00354309
2021-04-07,0.00184529
2021-04-08,0.00196998
2021-04-09,0.00181969
2021-04-10,0.00199299
2021-04-11,0.00304702
2021-04-12,0.00091114
2021-04-13,0.00109317
2021-04-14,0.00272718
2021-04-15,0.0
2021-04-16,0.0009297
2021-04-17,0.00081726
2021-04-18,0.00187081
2021-04-19,-0.00020271
2021-04-20,0.00092121
2021-04-21,7.39e-06
2021-04-22,0.00047764
2021-04-23,-0.00045965
2021-04-24,0.00020221
2021-04-25,0.00014408
2021-04-26,0.00010319
2021-04-27,0.0012816
2021-04-28,0.00095123
2021-04-29,0.00049629
2021-04-30,0.00172105
2021-05-01,0.00105182
2021-05-02,0.00090334
2021-05-03,0.00152031
2021-05-04,0.00025807
2021-05-05,0.00277786
2021-05-06,0.00147743
2021-05-07,0.00117086
2021-05-08,0.00136932
2021-05-09,0.00117877
2021-05-10,-0.00029208
2021-05-11,0.00102155
2021-05-12,0.0017759
2021-05-13,0.0009412
2021-05-14,0.0
2021-05-15,0.00257123
2021-05-16,0.0
2021-05-17,0.0009014
2021-05-18,-3.865e-05
2021-05-19,0.00075236
2021-05-20,0.00058022
2021-05-21,0.00074825
2021-05-22,0.0
2021-05-23,0.00039555
2021-05-24,0.00065824
2021-05-25,-0.00021298
2021-05-26,-0.00077125
2021-05-27,0.00054466
2021-05-28,0.00040363
2021-05-29,-0.00184835
2021-05-30,-0.00105383
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.00041513
2021-06-03,0.00019271
2021-06-04,0.00022542
2021-06-05,-0.00013155
2021-06-06,-5.213e-05
2021-06-07,-3.55e-06
2021-06-08,0.0
2021-06-09,0.0
2021-06-10,0.0006673
2021-06-11,-0.00013014
2021-06-12,0.00027838
2021-06-13,0.00046962
2021-06-14,-0.00039464
2021-06-15,0.00021506
2021-06-16,0.0
2021-06-17,-7.81e-05
2021-06-18,4.626e-05
2021-06-19,-0.00093887
2021-06-20,0.0
2021-06-21,-0.00075009
2021-06-22,-0.00040526
2021-06-23,-0.00020107
2021-06-24,5.02e-06
2021-06-25,-0.00062188
2021-06-26,-0.00037012
2021-06-27,-4.427e-05
2021-06-28,-0.00050749
2021-06-29,0.0
2021-06-30,-0.00076126
2021-07-01,-0.00018929
2021-07-02,-0.00032462
2021-07-03,-0.00058709
2021-07-04,-0.00020832
2021-07-05,-0.00035795
2021-07-06,-0.00020585
2021-07-07,-0.00067537
2021-07-08,-2.3e-07
2021-07-09,-0.00019356
2021-07-10,-0.00013986
2021-07-11,0.0
2021-07-12,-0.00058042
2021-07-13,-0.0001135
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.00036546
2021-07-17,-0.00012185
2021-07-18,0.0
2021-07-19,-0.0002095
2021-07-20,-0.00038708
2021-07-21,-0.00067533
2021-07-22,0.0
2021-07-23,0.00068615
2021-07-24,-9.365e-05
2021-07-25,-0.00077658
2021-07-26,-0.00104865
2021-07-27,-0.00038157
2021-07-28,0.0
2021-07-29,0.00037795
2021-07-30,0.0
2021-07-31,0.00067545
2021-08-01,0.00013518
2021-08-02,-7.942e-05
2021-08-03,0.00050433
2021-08-04,0.00060696
2021-08-05,0.00081524
2021-08-06,0.00013615
2021-08-07,0.00028289
2021-08-08,0.00097683
2021-08-09,0.00069013
2021-08-10,0.00118653
2021-08-11,0.00090382
2021-08-12,0.00049426
2021-08-13,0.00024767
2021-08-14,0.00111656
2021-08-15,0.00059167
2021-08-16,0.00083561
2021-08-17,0.0001913
2021-08-18,0.00099617
2021-08-19,0.00065081
2021-08-20,0.00034419
2021-08-21,0.00121575
2021-08-22,0.000637
2021-08-23,0.00043813
2021-08-24,0.00015373
2021-08-25,0.00097637
2021-08-26,5.733e-05
2021-08-27,0.00096064
2021-08-28,0.0008426
2021-08-29,0.00128084
2021-08-30,0.00024664
2021-08-31,0.00104023
2021-09-01,0.00063535
2021-09-02,0.00054738
2021-09-03,0.00134848
2021-09-04,0.00053086
2021-09-05,0.00133139
2021-09-06,0.00077581
2021-09-07,0.00058993
2021-09-08,0.00019862
2021-09-09,0.00052595
2021-09-10,0.00015346
2021-09-11,0.00042569
2021-09-12,0.00034195
2021-09-13,0.00083313
2021-09-14,0.00017414
2021-09-15,0.00064481
2021-09-16,0.00058715
2021-09-17,0.00080281
2021-09-18,0.00046446
2021-09-19,0.0
2021-09-20,1.961e-05
2021-09-21,0.00025642
2021-09-22,0.00013919
2021-09-23,2.433e-05
2021-09-24,-0.00037464
2021-09-25,-0.00010186
2021-09-26,-4.998e-05
2021-09-27,-0.00051335
2021-09-28,-0.00070151
2021-09-29,-0.0009868
2021-09-30,-0.0001922
2021-10-01,1.63e-06
2021-10-02,-0.00011736
2021-10-03,0.00047763
2021-10-04,0.00067617
2021-10-05,0.0005905
2021-10-06,0.00042278
2021-10-07,0.00074319
2021-10-08,0.00041116
2021-10-09,0.00147716
2021-10-10,0.00080924
2021-10-11,0.0
2021-10-12,0.00052383
2021-10-13,0.00048571
2021-10-14,0.00097517
2021-10-15,0.00070446
2021-10-16,0.00129594
2021-10-17,0.00034536
2021-10-18,0.00070993
2021-10-19,0.00098905
2021-10-20,0.00083156
2021-10-21,0.00090047
2021-10-22,0.00126908
2021-10-23,0.00124596
2021-10-24,0.0006341
2021-10-25,0.00047903
2021-10-26,0.00063634
2021-10-27,0.00011958
2021-10-28,0.00077438
2021-10-29,0.00083111
2021-10-30,0.00055434
2021-10-31,0.00100126
2021-11-01,0.00093331
2021-11-02,0.00097376
2021-11-03,0.00081513
2021-11-04,0.00074916
2021-11-05,0.00078701
2021-11-06,0.00058073
2021-11-07,0.00128544
2021-11-08,0.00095089
2021-11-09,0.00174178
2021-11-10,0.00016989
2021-11-11,0.0007138
2021-11-12,0.00038072
2021-11-13,0.00037021
2021-11-14,0.00091079
2021-11-15,0.0006023
2021-11-16,0.0
2021-11-17,0.00023569
2021-11-18,0.00063062
2021-11-19,0.00070235
2021-11-20,0.00067945
2021-11-21,0.0
2021-11-22,0.00066608
2021-11-23,0.00033599
2021-11-24,0.00045371
2021-11-25,0.00079957
2021-11-26,0.00066069
2021-11-27,0.00047953
2021-11-28,0.00028625
2021-11-29,0.00032251
2021-11-30,0.00019318
2021-12-01,0.00074588
2021-12-02,0.00031383
2021-12-03,0.0
2021-12-04,-0.00014326
2021-12-05,-0.00032742
2021-12-06,-0.00101195
2021-12-07,0.0
2021-12-08,-0.00013579
2021-12-09,9.997e-05
2021-12-10,-0.00060954
2021-12-11,-0.00044905
2021-12-12,0.0
2021-12-13,-0.00035242
2021-12-14,-0.00011422
2021-12-15,-0.0003257
2021-12-16,-0.00017403
2021-12-17,-0.00029253
2021-12-18,-0.00026555
2021-12-19,-0.00017057
2021-12-20,-0.00041673
2021-12-21,-0.00020704
2021-12-22,-0.00075742
2021-12-23,-0.00038894
2021-12-24,0.00080691
2021-12-25,-0.00014878
2021-12-26,0.0
2021-12-27,0.00038883
2021-12-28,-1.235e-05
2021-12-29,-0.00026564
2021-12-30,-0.00029339
2021-12-31,-1.19e-06
2022-01-01,2.258e-05
2022-01-02,-0.00030459
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,-0.00075475
2022-01-06,-0.00033182
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,-0.00028152
2022-01-10,-0.00040268
2022-01-11,-0.00028969
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,-0.00041464
2022-01-15,-0.0004692
2022-01-16,-0.00025686
2022-01-17,-0.00025772
2022-01-18,-0.00071151
2022-01-19,-0.00042505
2022-01-20,-0.00061911
2022-01-21,0.0
2022-01-22,-0.00011628
2022-01-23,0.0
2022-01-24,-0.00060316
2022-01-25,-0.00034887
2022-01-26,-0.00041685
2022-01-27,-0.0006397
2022-01-28,-0.00057856
2022-01-29,-0.00051634
2022-01-30,-0.00061575
2022-01-31,0.0
2022-02-01,-0.0002751
2022-02-02,-0.00060824
2022-02-03,-0.00085779
2022-02-04,-0.00025572
2022-02-05,-0.00059971
2022-02-06,-0.00049327
2022-02-07,-0.00076173
2022-02-08,-0.00018772
2022-02-09,0.00010733
2022-02-10,-0.00102457
2022-02-11,-0.00075151
2022-02-12,6.97e-06
2022-02-13,-0.00035756
2022-02-14,-0.00050796
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,-0.00066859
2022-02-18,-0.00051809
2022-02-19,0.0
2022-02-20,-5.93e-06
2022-02-21,-0.00053775
2022-02-22,-0.00062598
2022-02-23,-0.0005434
2022-02-24,-7.152e-05
2022-02-25,-4.731e-05
2022-02-26,5.337e-05
2022-02-27,-0.00050603
2022-02-28,-0.00032679
2022-03-01,-4.931e-05
2022-03-02,-0.00023921
2022-03-03,-0.00079254
2022-03-04,-0.00055035
2022-03-05,-0.00013726
2022-03-06,-0.00045324
2022-03-07,-0.00059072
2022-03-08,-0.00061024
2022-03-09,0.0
2022-03-10,-0.00021161
2022-03-11,-0.00015137
2022-03-12,-0.00044183
2022-03-13,-0.00036222
2022-03-14,-0.00097896
2022-03-15,-0.00045696
2022-03-16,-0.00052732
2022-03-17,-0.00025404
2022-03-18,0.0
2022-03-19,-0.00021876
2022-03-20,-0.00036248
2022-03-21,-2.925e-05
2022-03-22,-0.00026749
2022-03-23,-0.00014718
2022-03-24,-2.788e-05
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,-3.618e-05
2022-03-28,0.00048126
2022-03-29,-5.217e-05
2022-03-30,8.772e-05
2022-03-31,-0.0006186
2022-04-01,0.0
2022-04-02,-0.00011134
2022-04-03,0.0
2022-04-04,-0.00020451
2022-04-05,-0.00044985
2022-04-06,-0.00036969
2022-04-07,-0.000126
2022-04-08,-0.00035337
2022-04-09,0.0
2022-04-10,-0.00055738
2022-04-11,-0.00018705
2022-04-12,-0.00012169
2022-04-13,-5.001e-05
2022-04-14,-0.00028466
2022-04-15,-0.00061635
2022-04-16,-0.00040258
2022-04-17,-0.00046945
2022-04-18,-0.00046764
2022-04-19,-0.0003998
2022-04-20,-0.00030054
2022-04-21,-0.00060573
2022-04-22,0.0
2022-04-23,-0.00033612
2022-04-24,-0.00022959
2022-04-25,-0.00074538
2022-04-26,-0.00098031
2022-04-27,-0.00048898
2022-04-28,-0.00054157
2022-04-29,-0.00041723
2022-04-30,-0.00084659
2022-05-01,-0.00065655
2022-05-02,-0.00040719
2022-05-03,-0.00040916
2022-05-04,-0.00051814
2022-05-05,-0.00038021
2022-05-06,-0.00031202
2022-05-07,-0.00057068
2022-05-08,-0.0006655
2022-05-09,-0.00139453
2022-05-10,-0.00032758
2022-05-11,-4.421e-05
2022-05-12,-0.00108272
2022-05-13,-7.132e-05
2022-05-14,-0.00049384
2022-05-15,-0.00010381
2022-05-16,-0.00023802
2022-05-17,-0.00077385
2022-05-18,-0.00078115
2022-05-19,-0.00012008
2022-05-20,-0.00069743
2022-05-21,-0.00056155
2022-05-22,-0.0003237
2022-05-23,-0.00055455
2022-05-24,-0.00023041
2022-05-25,-0.00069165
2022-05-26,-0.00026816
2022-05-27,0.0
2022-05-28,-0.00084893
2022-05-29,-0.00028093
2022-05-30,-0.0002973
2022-05-31,-0.00051267
2022-06-01,-0.00045993
2022-06-02,-0.00066017
2022-06-03,-0.00057462
2022-06-04,-0.00024783
2022-06-05,-0.00028035
2022-06-06,-0.00105405
2022-06-07,-0.00038663
2022-06-08,-0.00042706
2022-06-09,-0.00024789
2022-06-10,-0.00069174
2022-06-11,-0.00058764
2022-06-12,-0.00038193
2022-06-13,0.0
2022-06-14,-0.00079415
2022-06-15,-0.00056747
2022-06-16,-9.748e-05
2022-06-17,-0.0005226
2022-06-18,-0.00060154
2022-06-19,-0.00064781
2022-06-20,0.0
2022-06-21,-0.0001359
2022-06-22,-0.000333
2022-06-23,-0.00045434
2022-06-24,-0.00065832
2022-06-25,-0.00084927
2022-06-26,-0.00021472
2022-06-27,0.0
2022-06-28,-0.00038566
2022-06-29,-0.00051816
2022-06-30,-0.00032082
2022-07-01,-9.643e-05
2022-07-02,-0.00046615
2022-07-03,-0.00049457
2022-07-04,-0.0006977
2022-07-05,-0.00100365
2022-07-06,-0.00041517
2022-07-07,-0.00065075
2022-07-08,-0.00101866
2022-07-09,-0.00080326
2022-07-10,-0.00031144
2022-07-11,-0.00086968
2022-07-12,-0.00056474
2022-07-13,-0.00099122
2022-07-14,-0.00045107
2022-07-15,-7.286e-05
2022-07-16,-0.00049701
2022-07-17,-4.83e-05
2022-07-18,-0.00058348
2022-07-19,-0.0007267
2022-07-20,-0.00041764
2022-07-21,-0.00068717
2022-07-22,-0.00032749
2022-07-23,-0.00084325
2022-07-24,-0.0003122
2022-07-25,-0.00103863
2022-07-26,-0.00108337
2022-07-27,-0.00053813
2022-07-28,-0.00061456
2022-07-29,-0.00036579
2022-07-30,-8.727e-05
2022-07-31,-0.00028114
2022-08-01,-0.00072002
2022-08-02,-0.00066902
2022-08-03,-0.00054216
2022-08-04,-0.00057266
2022-08-05,-0.00062308
2022-08-06,-0.00078551
2022-08-07,-0.00079861
2022-08-08,-0.00064732
2022-08-09,-0.0007837
2022-08-10,-0.00013065
2022-08-11,-0.00049044
2022-08-12,-0.00069746
2022-08-13,-0.00069896
2022-08-14,-0.00068144
2022-08-15,-0.00024298
2022-08-16,-0.00043524
2022-08-17,-0.00036807
2022-08-18,-0.00056195
2022-08-19,-0.00052314
2022-08-20,-0.00075391
2022-08-21,-0.00031298
2022-08-22,-0.0007034
2022-08-23,-0.00078697
2022-08-24,-0.00061855
2022-08-25,-0.00078449
2022-08-26,-5.465e-05
2022-08-27,-0.00056559
2022-08-28,-7.939e-05
2022-08-29,-0.00047056
2022-08-30,-0.00027362
2022-08-31,-0.00075822
