datetime,open,high,low,close,volume
2021-01-01,0.01764,0.01883,0.0173,0.0178,196676144.0
2021-01-02,0.01779,0.01969,0.01718,0.01908,355570363.0
2021-01-03,0.01908,0.0207,0.01881,0.02004,411198574.0
2021-01-04,0.02005,0.02504,0.01964,0.02468,1014825933.0
2021-01-05,0.02472,0.02724,0.02345,0.02441,1210345912.0
2021-01-06,0.02443,0.0371,0.02386,0.03558,1818361926.0
2021-01-07,0.0356,0.04005,0.03071,0.03309,1129952879.0
2021-01-08,0.03306,0.03525,0.02744,0.03164,733176703.0
2021-01-09,0.03165,0.03492,0.03083,0.03347,334072476.0
2021-01-10,0.03348,0.03477,0.02755,0.0303,498101392.0
2021-01-11,0.03032,0.03044,0.02279,0.02595,469257098.0
2021-01-12,0.02595,0.02832,0.02502,0.02613,233816087.0
2021-01-13,0.02613,0.03069,0.02477,0.02996,310908806.0
2021-01-14,0.02999,0.03301,0.02908,0.03296,327682648.0
2021-01-15,0.03292,0.03574,0.02914,0.03417,427212522.0
2021-01-16,0.03411,0.0365,0.03169,0.03284,437008764.0
2021-01-17,0.03283,0.03495,0.03059,0.03417,276345984.0
2021-01-18,0.03419,0.03789,0.0335,0.03629,342892580.0
2021-01-19,0.0363,0.0364,0.03191,0.03233,270858543.0
2021-01-20,0.03236,0.03494,0.03012,0.03444,287613481.0
2021-01-21,0.03446,0.03515,0.02806,0.0287,336450262.0
2021-01-22,0.02871,0.033,0.02617,0.03121,282337051.0
2021-01-23,0.0312,0.0353,0.03064,0.0341,441615095.0
2021-01-24,0.0341,0.03531,0.03229,0.03317,279960678.0
2021-01-25,0.03319,0.03704,0.03278,0.03282,356785971.0
2021-01-26,0.03279,0.04478,0.03185,0.04342,1823400809.0
2021-01-27,0.04342,0.04822,0.0376,0.04186,1255693015.0
2021-01-28,0.04189,0.04475,0.03838,0.03867,587305880.0
2021-01-29,0.03868,0.0436,0.03736,0.0403,679241859.0
2021-01-30,0.04031,0.04712,0.03902,0.0402,642603500.0
2021-01-31,0.04017,0.04053,0.03587,0.03837,358895933.0
2021-02-01,0.03837,0.04162,0.03623,0.04098,398368385.0
2021-02-02,0.04098,0.0416,0.03942,0.04117,190796564.0
2021-02-03,0.04114,0.04465,0.03985,0.04394,351943485.0
2021-02-04,0.04395,0.04994,0.03914,0.04742,557305941.0
2021-02-05,0.04752,0.05673,0.0461,0.05501,653461079.0
2021-02-06,0.05501,0.05605,0.04616,0.05271,533975423.0
2021-02-07,0.05277,0.06852,0.04806,0.06658,784456091.0
2021-02-08,0.06657,0.08057,0.06123,0.07166,982085010.0
2021-02-09,0.07158,0.10864,0.06936,0.0992,1014448597.0
2021-02-10,0.09934,0.14722,0.09719,0.1162,1974368383.0
2021-02-11,0.11633,0.14,0.112,0.12346,632655807.0
2021-02-12,0.1236,0.13066,0.11346,0.12132,392441887.0
2021-02-13,0.12122,0.12738,0.1045,0.11184,451063108.0
2021-02-14,0.11193,0.11673,0.09431,0.10055,445754188.0
2021-02-15,0.10065,0.1199,0.07985,0.10757,905437903.0
2021-02-16,0.10761,0.11598,0.101,0.10905,467242827.0
2021-02-17,0.10913,0.12004,0.09535,0.11256,492500013.0
2021-02-18,0.11258,0.137,0.11236,0.12248,627540937.0
2021-02-19,0.12252,0.16543,0.11851,0.15417,606443475.0
2021-02-20,0.15432,0.20188,0.13084,0.14427,1538539018.0
2021-02-21,0.14427,0.185,0.13879,0.16251,773217662.0
2021-02-22,0.16262,0.16786,0.11795,0.15179,835573318.0
2021-02-23,0.15191,0.15301,0.09766,0.13698,788980424.0
2021-02-24,0.13686,0.17188,0.12704,0.16008,719395704.0
2021-02-25,0.16025,0.22243,0.15848,0.17594,1149901063.0
2021-02-26,0.17591,0.20335,0.15935,0.19055,941284047.0
2021-02-27,0.19067,0.23234,0.18833,0.19736,826758676.0
2021-02-28,0.1975,0.23387,0.17184,0.23359,932475544.0
2021-03-01,0.23356,0.25399,0.21647,0.24942,750528320.0
2021-03-02,0.24936,0.2507,0.2135,0.23281,366555824.0
2021-03-03,0.23283,0.23831,0.21851,0.22251,237787942.0
2021-03-04,0.22258,0.237,0.19452,0.19915,290792990.0
2021-03-05,0.19935,0.22371,0.18413,0.21299,371870734.0
2021-03-06,0.21297,0.22981,0.20516,0.21257,259918386.0
