datetime,open,high,low,close,volume
2021-01-01,0.2195,0.2516,0.2159,0.2377,3969333715.9
2021-01-02,0.2377,0.2385,0.21,0.221,2580820176.4
2021-01-03,0.2211,0.2402,0.2153,0.2265,2172269341.4
2021-01-04,0.2263,0.263,0.2152,0.2361,3018635685.9
2021-01-05,0.2361,0.2433,0.2155,0.2258,2373323716.5
2021-01-06,0.2259,0.2744,0.2215,0.2489,3038120490.3
2021-01-07,0.2491,0.3722,0.2456,0.3243,7740961623.6
2021-01-08,0.3244,0.3499,0.2842,0.3206,4005453426.1
2021-01-09,0.3209,0.3415,0.3063,0.3247,2292514479.9
2021-01-10,0.3247,0.3688,0.2872,0.3152,3199655747.9
2021-01-11,0.3152,0.3171,0.2501,0.2877,3451973783.4
2021-01-12,0.2877,0.311,0.278,0.2928,1738204701.1
2021-01-13,0.2928,0.3109,0.2849,0.3059,1208709454.2
2021-01-14,0.3061,0.3097,0.2833,0.297,1324252159.7
2021-01-15,0.2969,0.3043,0.2615,0.2803,1293159611.9
2021-01-16,0.2801,0.2976,0.2751,0.2797,966479844.0
2021-01-17,0.2796,0.2861,0.2688,0.2777,772816662.1
2021-01-18,0.2777,0.2896,0.2717,0.2857,785218817.4
2021-01-19,0.2858,0.3298,0.2845,0.2942,2002707295.5
2021-01-20,0.2943,0.3125,0.2796,0.296,1384456147.7
2021-01-21,0.296,0.3087,0.2597,0.2684,1481911012.8
2021-01-22,0.2683,0.2786,0.2387,0.2724,1208551246.7
2021-01-23,0.2724,0.2839,0.2657,0.272,671514716.8
2021-01-24,0.2721,0.2783,0.2683,0.2739,506266833.2
2021-01-25,0.2739,0.2859,0.2667,0.2678,704289558.6
2021-01-26,0.2678,0.2713,0.2581,0.2686,516579916.7
2021-01-27,0.2686,0.2691,0.244,0.2507,749040833.0
2021-01-28,0.2508,0.2705,0.247,0.2645,605421817.6
2021-01-29,0.2645,0.3179,0.2601,0.2833,2741305541.4
2021-01-30,0.2833,0.52,0.2778,0.4445,11680659562.7
2021-01-31,0.4448,0.5144,0.3884,0.4959,9867521095.6
2021-02-01,0.4959,0.7577,0.36,0.3714,20031352048.6
2021-02-02,0.3716,0.412,0.34,0.3734,5080622188.3
2021-02-03,0.3734,0.42,0.373,0.398,2856599419.9
2021-02-04,0.3979,0.4819,0.38,0.4462,4293031635.1
2021-02-05,0.4463,0.4735,0.4236,0.4535,2859549892.2
2021-02-06,0.4534,0.4592,0.426,0.4442,1568085592.8
2021-02-07,0.4441,0.4526,0.3878,0.4188,2064581819.8
2021-02-08,0.4188,0.4724,0.4131,0.4522,1730125643.9
2021-02-09,0.4523,0.4923,0.45,0.4773,1974627674.3
2021-02-10,0.4772,0.5447,0.44,0.5055,4177386964.8
2021-02-11,0.5055,0.5379,0.5009,0.5292,1748899485.4
2021-02-12,0.5291,0.6216,0.5204,0.6107,3173099691.5
2021-02-13,0.6108,0.646,0.5401,0.6348,3442443936.4
2021-02-14,0.6348,0.6428,0.56,0.5935,2115541404.8
2021-02-15,0.5935,0.6056,0.5,0.55,2664440095.4
2021-02-16,0.55,0.5814,0.48,0.5203,2653177482.1
2021-02-17,0.5202,0.56,0.493,0.536,2034112211.0
2021-02-18,0.5361,0.5614,0.5186,0.5328,1286010664.4
2021-02-19,0.533,0.5847,0.5128,0.5667,1792625220.9
2021-02-20,0.5666,0.5855,0.4684,0.5117,2010329977.1
2021-02-21,0.5118,0.5601,0.503,0.5459,1662163078.9
2021-02-22,0.546,0.6535,0.5076,0.5668,6412904082.4
2021-02-23,0.5669,0.5727,0.3523,0.4765,4758792739.8
2021-02-24,0.4765,0.5007,0.4512,0.4687,1587641244.6
2021-02-25,0.4688,0.4828,0.4242,0.4358,1095290122.6
2021-02-26,0.4356,0.451,0.4102,0.4279,1454940409.9
2021-02-27,0.4281,0.4594,0.4268,0.4361,934914054.5
2021-02-28,0.436,0.4391,0.3926,0.4159,1140906829.3
2021-03-01,0.4159,0.4549,0.4122,0.4458,871852479.9
2021-03-02,0.4459,0.4557,0.4222,0.4361,884158270.3
2021-03-03,0.436,0.4691,0.43,0.4486,918705249.5
2021-03-04,0.4489,0.495,0.4332,0.4816,2087293991.9
2021-03-05,0.4816,0.4853,0.446,0.4551,1149828360.1
2021-03-06,0.4551,0.4717,0.4494,0.463,677081122.8
2021-03-07,0.4631,0.4696,0.4564,0.466,484580276.3
2021-03-08,0.4661,0.4907,0.4552,0.4749,1137098838.0
2021-03-09,0.4749,0.4885,0.4714,0.4858,723233389.8
2021-03-10,0.4859,0.4901,0.452,0.4621,1025882613.1
2021-03-11,0.4621,0.4649,0.4392,0.4527,848294260.1
2021-03-12,0.4526,0.4657,0.4216,0.4399,1030092042.6
2021-03-13,0.4399,0.4677,0.4323,0.4586,820249044.0
2021-03-14,0.4587,0.4624,0.4385,0.4394,621703932.3
2021-03-15,0.4394,0.449,0.4226,0.4361,840041993.1
2021-03-16,0.4361,0.5213,0.4272,0.4607,2503504175.5
2021-03-17,0.4608,0.4831,0.4533,0.4707,1089971210.3
2021-03-18,0.4708,0.4923,0.4649,0.4696,956080064.2
2021-03-19,0.4696,0.476,0.4577,0.4668,585803706.7
2021-03-20,0.4669,0.55,0.4651,0.5265,2412265850.3
2021-03-21,0.5265,0.5479,0.4952,0.5176,1986704476.3
2021-03-22,0.5174,0.6014,0.5014,0.5449,4283380102.0
2021-03-23,0.5449,0.598,0.5381,0.5501,2908331283.6
2021-03-24,0.55,0.5636,0.4485,0.48,2150347117.8
2021-03-25,0.4801,0.525,0.4552,0.511,2242921852.4
2021-03-26,0.5111,0.5776,0.5107,0.5638,1698485594.8
2021-03-27,0.5638,0.5753,0.5343,0.5479,972560455.6
2021-03-28,0.5478,0.5614,0.5386,0.5463,655974765.9
2021-03-29,0.5463,0.5723,0.5434,0.5662,910653619.2
2021-03-30,0.5663,0.5892,0.5601,0.5629,1119023781.1
2021-03-31,0.563,0.5783,0.5252,0.5708,1552269813.8
2021-04-01,0.5709,0.5998,0.5478,0.5714,1411453338.3
2021-04-02,0.5714,0.6124,0.5664,0.6078,1564087552.8
2021-04-03,0.6078,0.643,0.5715,0.579,2112863224.8
2021-04-04,0.579,0.6368,0.5622,0.6353,1257810414.8
2021-04-05,0.6353,0.9421,0.6207,0.9176,8128449731.5
2021-04-06,0.9176,1.124,0.808,1.1005,10231148321.4
2021-04-07,1.1006,1.1144,0.854,0.918,7202256810.5
2021-04-08,0.9181,1.0753,0.9025,1.0588,3561143144.7
2021-04-09,1.0586,1.0876,0.9813,1.0192,2669286605.8
2021-04-10,1.0192,1.4063,1.0079,1.3762,7483995510.6
2021-04-11,1.3761,1.5057,1.3085,1.3563,5041750248.3
2021-04-12,1.3563,1.4778,1.3235,1.4706,2927171900.9
2021-04-13,1.4706,1.895,1.4214,1.7993,6666710628.4
2021-04-14,1.7987,1.977,1.56,1.8385,6201505827.5
2021-04-15,1.8384,1.8948,1.656,1.7599,3041510622.9
2021-04-16,1.7599,1.8177,1.41,1.5515,4473213159.0
2021-04-17,1.5515,1.745,1.5194,1.5409,2405146394.1
2021-04-18,1.5408,1.5677,1.1,1.4105,5531419436.2
2021-04-19,1.4105,1.531,1.2479,1.31,4068853046.6
2021-04-20,1.3102,1.449,1.172,1.3863,3712371564.9
2021-04-21,1.3862,1.4676,1.2745,1.2912,2957369617.0
2021-04-22,1.2911,1.4224,1.0816,1.1557,4134473501.3
2021-04-23,1.1556,1.1979,0.8702,1.1703,7109315774.6
2021-04-24,1.1703,1.1724,1.0209,1.0503,2942016375.5
2021-04-25,1.0503,1.1576,0.9439,1.0356,3223836893.3
2021-04-26,1.0355,1.3766,1.0125,1.3644,5266672364.2
2021-04-27,1.3645,1.4671,1.3318,1.4039,4242028261.8
2021-04-28,1.404,1.4499,1.2831,1.3594,3326625503.2
2021-04-29,1.3594,1.4222,1.3278,1.3985,2524827408.4
2021-04-30,1.3985,1.64,1.3759,1.6019,3959585696.6
2021-05-01,1.6021,1.6686,1.5238,1.6531,1932460638.2
2021-05-02,1.6531,1.66,1.5238,1.5618,2071146175.6
2021-05-03,1.5619,1.6248,1.4604,1.5582,1859212510.3
2021-05-04,1.5582,1.5619,1.3189,1.3882,3761063811.6
2021-05-05,1.3882,1.631,1.3657,1.6181,2905496120.3
2021-05-06,1.6182,1.7722,1.5048,1.6051,3481347490.3
2021-05-07,1.6052,1.6965,1.5056,1.5811,2164470279.4
2021-05-08,1.5812,1.63,1.541,1.5635,1208260730.6
2021-05-09,1.5636,1.6021,1.41,1.5365,1478470922.4
2021-05-10,1.5365,1.6298,1.2052,1.3909,2667721486.3
2021-05-11,1.3908,1.4903,1.35,1.4808,1606411364.5
2021-05-12,1.4808,1.5499,1.2305,1.2686,2372266296.6
2021-05-13,1.2685,1.3913,1.1858,1.3657,3015946491.2
2021-05-14,1.3657,1.4505,1.3224,1.4003,1472273665.2
2021-05-15,1.4003,1.584,1.3221,1.4927,3374530149.2
2021-05-16,1.4928,1.615,1.3386,1.4503,3107976997.4
2021-05-17,1.45,1.565,1.3257,1.4968,3653477169.1
2021-05-18,1.4968,1.7069,1.4725,1.5898,3970922682.7
2021-05-19,1.5896,1.647,0.8311,1.0578,5716676592.4
2021-05-20,1.0579,1.2659,0.9018,1.1809,3749294710.7
2021-05-21,1.1809,1.2208,0.8647,1.0069,3295923799.0
2021-05-22,1.0068,1.0167,0.8152,0.9055,3195387354.0
2021-05-23,0.9056,0.9686,0.65,0.7899,4936147613.4
2021-05-24,0.7899,0.9978,0.7534,0.9936,3497710011.8
2021-05-25,0.9935,1.0591,0.8807,0.9745,3578987774.5
2021-05-26,0.9744,1.0705,0.946,1.0303,2455271318.8
2021-05-27,1.0304,1.0417,0.9303,0.9747,2016545036.1
2021-05-28,0.975,0.9849,0.8457,0.8988,2660683942.4
2021-05-29,0.8991,0.9425,0.792,0.8306,2238310976.2
2021-05-30,0.8308,0.9332,0.7961,0.9047,2035377904.1
2021-05-31,0.9048,1.05,0.88,1.041,2963692599.0
2021-06-01,1.041,1.1013,0.9742,1.0109,2727042533.9
2021-06-02,1.0109,1.0501,0.9791,1.0245,1515783139.7
2021-06-03,1.0247,1.0796,1.0067,1.0456,1493308403.9
2021-06-04,1.0455,1.0467,0.9156,0.9691,2016065742.1
2021-06-05,0.969,0.9977,0.8902,0.9227,1574975231.2
2021-06-06,0.9227,0.95,0.9166,0.9466,1084194136.0
2021-06-07,0.9466,0.976,0.8351,0.8617,1710987741.5
2021-06-08,0.8617,0.8854,0.7825,0.8733,2586699763.9
2021-06-09,0.8732,0.9218,0.8296,0.9218,2106912262.6
2021-06-10,0.9218,0.9298,0.852,0.8692,1472399134.3
2021-06-11,0.8692,0.8809,0.8324,0.8471,1085145490.5
2021-06-12,0.8471,0.8479,0.8048,0.8326,1074842516.6
2021-06-13,0.8325,0.888,0.8167,0.8836,997486928.1
2021-06-14,0.8837,0.93,0.8629,0.8902,1161811123.4
2021-06-15,0.8902,0.9019,0.8543,0.8665,1017168828.8
2021-06-16,0.8664,0.8737,0.8251,0.8321,1027576651.1
2021-06-17,0.8321,0.8617,0.8226,0.8415,917652740.3
2021-06-18,0.8414,0.8455,0.7671,0.7971,1178348054.2
2021-06-19,0.7971,0.8054,0.755,0.7577,857820856.8
2021-06-20,0.7577,0.785,0.6955,0.7742,1637866418.9
2021-06-21,0.7742,0.7805,0.6033,0.6066,2855316318.3
2021-06-22,0.6065,0.6496,0.5085,0.5464,3979211434.3
2021-06-23,0.5465,0.6658,0.5197,0.638,2972971051.3
2021-06-24,0.638,0.6924,0.6158,0.6732,1988962955.7
2021-06-25,0.6733,0.6885,0.6015,0.6106,2208628763.6
2021-06-26,0.6106,0.6326,0.5809,0.6159,1568689242.9
2021-06-27,0.6159,0.6521,0.5956,0.648,1431921556.6
2021-06-28,0.648,0.6569,0.6238,0.6439,1338738163.5
2021-06-29,0.6439,0.7343,0.6411,0.7065,2105462072.8
2021-06-30,0.7064,0.7147,0.6475,0.7057,1815268630.4
2021-07-01,0.7057,0.7059,0.6432,0.659,1452811643.7
2021-07-02,0.659,0.6677,0.6324,0.6555,1143712519.7
2021-07-03,0.6555,0.6849,0.6425,0.6728,1048339636.7
2021-07-04,0.6729,0.7089,0.6652,0.6958,1049201792.1
2021-07-05,0.6958,0.6965,0.6436,0.6523,1267193291.7
2021-07-06,0.6522,0.6797,0.6506,0.6647,1054646447.1
2021-07-07,0.6646,0.6739,0.649,0.6516,868221424.6
2021-07-08,0.6515,0.6539,0.6107,0.6216,1199604843.2
2021-07-09,0.6215,0.6453,0.5911,0.6367,1266726151.6
2021-07-10,0.6366,0.649,0.6115,0.6247,852225921.3
2021-07-11,0.6247,0.6449,0.6166,0.6363,717737968.8
2021-07-12,0.6363,0.6571,0.6168,0.6285,1155672975.1
2021-07-13,0.6284,0.6437,0.6081,0.6192,1165375632.8
2021-07-14,0.6191,0.625,0.5845,0.6197,1302095139.1
2021-07-15,0.6197,0.6272,0.587,0.5978,1084884286.4
2021-07-16,0.5978,0.6195,0.5869,0.5894,1151717109.1
2021-07-17,0.5894,0.5975,0.5566,0.5819,967686339.2
2021-07-18,0.582,0.6016,0.5702,0.5866,788922255.4
2021-07-19,0.5865,0.5888,0.5525,0.5569,987835050.5
2021-07-20,0.557,0.5698,0.5151,0.5283,1410066745.8
2021-07-21,0.5282,0.584,0.5187,0.5712,1421960896.6
2021-07-22,0.5713,0.603,0.5606,0.5921,1163215158.8
2021-07-23,0.5921,0.61,0.5751,0.6092,931417526.8
2021-07-24,0.6092,0.6204,0.5995,0.6082,770284442.6
2021-07-25,0.6082,0.6119,0.5905,0.6064,650623529.8
2021-07-26,0.6063,0.6792,0.6043,0.6233,1906668973.4
2021-07-27,0.6233,0.6527,0.612,0.6448,1228547823.0
2021-07-28,0.6448,0.7549,0.6305,0.732,4356431300.0
2021-07-29,0.7322,0.7666,0.6971,0.7492,1966972078.0
2021-07-30,0.7491,0.7697,0.7117,0.752,2082904468.4
2021-07-31,0.752,0.7595,0.736,0.7464,1103131649.2
2021-08-01,0.7465,0.7783,0.7016,0.7242,1568200623.3
2021-08-02,0.7241,0.7739,0.7149,0.7381,1340924703.7
2021-08-03,0.7382,0.745,0.7006,0.7138,1208903247.8
2021-08-04,0.7138,0.7399,0.6946,0.7314,979758765.7
2021-08-05,0.7315,0.7395,0.7007,0.7335,1054688971.6
2021-08-06,0.7335,0.7538,0.7225,0.7475,935722151.5
2021-08-07,0.7475,0.82,0.7412,0.817,1887630795.4
2021-08-08,0.8169,0.8427,0.772,0.7796,1684108500.8
2021-08-09,0.7796,0.8291,0.7601,0.8178,1483273615.3
2021-08-10,0.8177,0.8632,0.8002,0.8519,1555877798.8
2021-08-11,0.852,1.0928,0.849,1.012,3660955252.3
2021-08-12,1.0119,1.047,0.9222,0.9667,3559945935.8
2021-08-13,0.9667,1.0982,0.9508,1.0909,2547206179.0
2021-08-14,1.0909,1.312,1.071,1.2805,4804108854.3
2021-08-15,1.2805,1.35,1.226,1.285,3904875908.2
2021-08-16,1.285,1.3323,1.1383,1.1861,2839780342.6
2021-08-17,1.1861,1.2249,1.0842,1.0984,2980122463.0
2021-08-18,1.0982,1.1969,1.0501,1.1439,3155606674.3
2021-08-19,1.1439,1.2367,1.09,1.2357,2427378303.5
2021-08-20,1.2357,1.2904,1.2007,1.264,1989126590.5
2021-08-21,1.264,1.2848,1.2033,1.2172,1475095353.5
2021-08-22,1.217,1.2579,1.1759,1.2266,1273800960.1
2021-08-23,1.2266,1.3066,1.1985,1.2465,2020466111.7
2021-08-24,1.2465,1.2671,1.12,1.1358,1927440911.2
2021-08-25,1.1358,1.1786,1.107,1.1749,1588520494.2
2021-08-26,1.1747,1.1876,1.063,1.0724,1930039443.1
2021-08-27,1.0725,1.194,1.0496,1.1925,1800717916.1
2021-08-28,1.1927,1.1997,1.1335,1.1471,999620772.4
2021-08-29,1.1472,1.1695,1.1121,1.1423,1103872394.3
2021-08-30,1.1422,1.1507,1.0949,1.101,1038916883.0
2021-08-31,1.101,1.2443,1.0913,1.1872,2100929635.2
2021-09-01,1.1872,1.2394,1.1583,1.237,1601162715.9
2021-09-02,1.237,1.2981,1.223,1.2542,1711752690.9
2021-09-03,1.2542,1.3266,1.22,1.2921,1773255609.6
2021-09-04,1.2921,1.299,1.2364,1.2556,1080393045.7
2021-09-05,1.2556,1.314,1.237,1.309,1045144591.4
2021-09-06,1.309,1.418,1.308,1.3906,2384689894.2
2021-09-07,1.3906,1.3937,0.8969,1.1292,4206131473.4
2021-09-08,1.1293,1.1488,1.0138,1.1002,2477290525.7
2021-09-09,1.1001,1.1387,1.07,1.0878,1553041248.8
2021-09-10,1.0877,1.2459,1.0294,1.0556,2778213376.2
2021-09-11,1.0556,1.1135,1.0508,1.0795,987981750.2
2021-09-12,1.0795,1.1285,1.0577,1.1191,892124217.6
2021-09-13,1.1194,1.1274,1.0238,1.0651,1397941535.5
2021-09-14,1.0652,1.0983,1.0563,1.0965,780395330.6
2021-09-15,1.0965,1.1308,1.0782,1.1216,754055539.4
2021-09-16,1.1216,1.1312,1.0666,1.0908,908667576.0
2021-09-17,1.0908,1.1027,1.0511,1.0672,770260058.4
2021-09-18,1.0672,1.0954,1.0572,1.0756,547142465.4
2021-09-19,1.0759,1.0846,1.037,1.0483,624612100.7
2021-09-20,1.0482,1.0498,0.87,0.9216,2398417272.6
2021-09-21,0.9217,0.959,0.8579,0.8738,1756541477.0
2021-09-22,0.8741,1.009,0.8679,1.0031,1566743228.4
2021-09-23,1.003,1.0171,0.9674,1.0015,983353999.1
2021-09-24,1.0014,1.0027,0.8849,0.9439,1464844211.3
2021-09-25,0.9439,0.9574,0.9161,0.9398,803579935.6
2021-09-26,0.9396,0.9567,0.8909,0.9433,838471450.6
2021-09-27,0.9434,0.9814,0.919,0.9208,777450962.9
2021-09-28,0.9208,0.9433,0.89,0.8924,695529377.5
2021-09-29,0.8925,0.9928,0.8855,0.9261,1313470970.5
2021-09-30,0.9258,0.9634,0.9211,0.9531,723327747.6
2021-10-01,0.9532,1.0689,0.9436,1.0421,1430025430.6
2021-10-02,1.0422,1.0728,1.0074,1.0362,875247098.4
2021-10-03,1.0362,1.0888,1.0203,1.0558,929477770.8
2021-10-04,1.0558,1.0604,1.0055,1.0435,980599974.9
2021-10-05,1.0435,1.0895,1.0382,1.0848,991675254.9
2021-10-06,1.0849,1.1096,1.0164,1.0773,1127575572.1
2021-10-07,1.0773,1.0958,1.0434,1.0686,910164591.9
2021-10-08,1.0687,1.0937,1.0531,1.0641,669159347.7
2021-10-09,1.0642,1.209,1.057,1.1618,1649280012.1
2021-10-10,1.1619,1.2319,1.1261,1.1359,1752991756.8
2021-10-11,1.1359,1.1833,1.101,1.1368,1010567408.8
2021-10-12,1.1367,1.1369,1.063,1.1023,1171455394.9
2021-10-13,1.1022,1.1397,1.0758,1.1284,938850072.0
2021-10-14,1.1285,1.1597,1.1174,1.1345,764073120.1
2021-10-15,1.1346,1.1674,1.0887,1.1423,1120479597.2
2021-10-16,1.1423,1.1887,1.1304,1.1356,792058514.7
2021-10-17,1.1356,1.1419,1.015,1.0947,905357372.6
2021-10-18,1.0947,1.1072,1.0652,1.0836,696271139.6
2021-10-19,1.0835,1.1018,1.0653,1.0923,516343386.1
2021-10-20,1.0922,1.1544,1.088,1.1464,824214508.3
2021-10-21,1.1464,1.1662,1.0834,1.0894,1178418735.9
2021-10-22,1.0893,1.13,1.0737,1.0895,826110651.1
2021-10-23,1.0896,1.1029,1.077,1.0948,453708448.7
2021-10-24,1.0949,1.0976,1.0501,1.083,541990420.0
2021-10-25,1.083,1.1045,1.079,1.0957,444948307.4
2021-10-26,1.0958,1.1624,1.09,1.1082,1132048689.7
2021-10-27,1.1084,1.1259,0.931,0.9951,1835516022.9
2021-10-28,0.9955,1.0813,0.9811,1.0586,1334734444.5
2021-10-29,1.0588,1.0918,1.0536,1.0833,654494024.7
2021-10-30,1.0834,1.118,1.0611,1.0856,628368061.7
2021-10-31,1.0853,1.1566,1.0686,1.1135,1070880986.7
2021-11-01,1.1137,1.1337,1.0701,1.0927,677670855.7
2021-11-02,1.0927,1.1486,1.0864,1.1361,731230269.6
2021-11-03,1.1361,1.2374,1.127,1.2113,1918949199.5
