ticker,first_eligible
AAPL,2000-01-01
MSFT,2000-01-01
JNJ,2000-01-01
JPM,2000-01-01
PG,2000-01-01
KO,2000-01-01
PEP,2000-01-01
WMT,2000-01-01
HD,2000-01-01
DIS,2000-01-01
INTC,2000-01-01
CSCO,2000-01-01
IBM,2000-01-01
MCD,2000-01-01
NKE,2000-01-01
T,2000-01-01
VZ,2000-01-01
XOM,2000-01-01
CVX,2000-01-01
BA,2000-01-01
CAT,2000-01-01
GE,2000-01-01
F,2000-01-01
GS,2000-01-01
MS,2000-01-01
BAC,2000-01-01
WFC,2000-01-01
C,2000-01-01
AMZN,2000-01-01
NVDA,2000-01-01
ORCL,2000-01-01
ADBE,2000-01-01
GOOGL,2004-08-19
GOOG,2014-04-03
META,2012-05-18
TSLA,2010-06-29
NFLX,2002-05-23
PYPL,2015-07-20
V,2008-03-19
MA,2006-05-25
